ref,decasien_citation,our_source,in_merge,status,note
24,"Stephan, Frahm & Baron 1981, Folia Primatol. 35 (insectivores & primates)",Stephan_etal_1981_Table1,yes,correct,
34,"Frahm, Stephan & Baron 1984, J. Hirnforsch. 25 (area striata AS)",Frahm_etal_1984_Table1,yes,correct,
43,"Bauernfeind et al. 2013, J. Hum. Evol. 64 (insular cortex)",Bauernfeind_etal_2013_Table1/2,yes,correct,
51,"Stephan, Bauchot & Andy 1970, The Primate Brain (Appleton-Century-Crofts)",Stephan_etal_1970_Tables1-6,yes,correct,
52,"Stephan, Baron & Frahm 1988, Comparative Primate Biology Vol. 4 (Alan R. Liss)",(Stephan collection),no,companion-of-51-52,Stephan 1988 compilation; its data is the Stephan collection we already carry via the individual Stephan/Baron/Frahm papers. Not a separate table.
53,"Sherwood et al. 2005, J. Hum. Evol. 48 (brainstem orofacial motor)",Sherwood_etal_2005_Table1,yes,correct,
54,"Bush & Allman 2004, Anat. Rec. A 281 (primary visual cortex / V1)",Bush_Allman_2004_b_TABLE1,yes,correct,
55,"Bush & Allman 2004, PNAS 101 (scaling of frontal cortex)","(Bush_Allman_2004_a, not in volume merge)",no,companion-of-54-55,Frontal-cortex scaling paper; frontal volumes in the merge come from Smaers 2011. Confirm if you want ref-55 frontal added.
56,"Barger, Stefanacci & Semendeferi 2007, Am. J. Phys. Anthropol. 134 (amygdala)",Barger_etal_2007_TABLE1,yes,correct,
57,"Barger, Hanson, Teffer, Schenker-Ahmed & Semendeferi 2014, Front. Hum. Neurosci. 8 (limbic)",(not in merge),no,companion-of-56-57,Later Barger amygdala/limbic paper; the 56-57 amygdala may blend 2007 & 2014. We carry Barger 2007 only.
58,"Stimpson et al. 2015, Soc. Cogn. Affect. Neurosci. 11 (amygdala, bonobo/chimp)",Stimpson_etal_2015_TableS1/S2,yes,correct,
59,"Zilles & Rehkaemper 1988, Orang-utan Biology (OUP)",Zilles_Rehkaemper_1988_Table12-2,yes,correct,
60,"De Sousa et al. 2010, J. Hum. Evol. 58 (lunate sulcus)",deSousa_etal_2010_Table1,yes,correct,
61,"MacLeod et al. 2003, J. Hum. Evol. 44 (neocerebellum)",MacLeod_etal_2003_,yes,correct,
62,"Rilling & Insel 1998, Brain Behav. Evol. 52 (cerebellum)",Rilling_Insel_1998_Table1,yes,correct,CEREBELLUM (+ brain volume) only.
63,"Rilling & Insel 1999, J. Hum. Evol. 37 (neocortex via MRI)",(NOT a separate source),no,WRONG-LABEL,"The NEOCORTEX values in DeCasien's '62-63' rows are from this 1999 paper, NOT Rilling & Insel 1998. Our viaDeCasien-Rilling neocortex was mislabeled as 1998. Either add a Rilling&Insel 1999 source or relabel."
64,"Sherwood et al. 2004, Am. J. Primatol. 63 (great apes, mountain gorilla)",Sherwood_etal_2004_TABLEI,yes,correct,
65,"Barks et al. 2015, Am. J. Phys. Anthropol. 156 (gorillas)",Barks_etal_2014_TABLE1 (+ viaDeCasien structures),yes,correct-year-note,DeCasien cites the PRINT year 2015; our folder is named Barks_etal_2014 (epub 2014). Same paper.
