ref_number,citation
24,"Stephan, H., Frahm, H. & Baron, G. New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol. 35, 1–29 (1981)."
34,"Frahm, H. D., Stephan, H. & Baron, G. Comparison of brain structure volumes in insectivora and primates. V. Area striata (AS). J. Hirnforsch. 25, 537–557 (1984)."
43,"Bauernfeind, A. L. et al. A volumetric comparison of the insular cortex and its subregions in primates. J. Hum. Evol. 64, 263–279 (2013)."
51,"Stephan, H., Bauchot, R., & Andy, O. J. in The Primate Brain (eds Noback, C. R. & Montagna, W.) 289–297 (Appleton-Century-Crofts, 1970)."
51-52,"Stephan, H., Bauchot, R., & Andy, O. J. in The Primate Brain (eds Noback, C. R. & Montagna, W.) 289–297 (Appleton-Century-Crofts, 1970)."
53,"Sherwood, C. C. et al. Evolution of the brainstem orofacial motor system in primates: a comparative study of trigeminal, facial, and hypoglossal nuclei. J. Hum. Evol. 48, 45–84 (2005)."
54,"Bush, E. C. & Allman, J. M. Three-dimensional structure and evolution of primate primary visual cortex. Anat. Rec. A 281, 1088–1094 (2004)."
54-55,"Bush, E. C. & Allman, J. M. Three-dimensional structure and evolution of primate primary visual cortex. Anat. Rec. A 281, 1088–1094 (2004)."
56,"Barger, N., Stefanacci, L. & Semendeferi, K. A comparative volumetric analysis of the amygdaloid complex and basolateral division in the human and ape brain. Am. J. Phys. Anthropol. 134, 392–403 (2007"
56-57,"Barger, N., Stefanacci, L. & Semendeferi, K. A comparative volumetric analysis of the amygdaloid complex and basolateral division in the human and ape brain. Am. J. Phys. Anthropol. 134, 392–403 (2007"
58,"Stimpson, C. D. et al. Differential serotonergic innervation of the amygdala in bonobos and chimpanzees. Soc. Cogn. Affect. Neurosci. 11, 413–422 (2015)."
59,"Zilles, K. & Rehkämper, G. in Orang-utan Biology (ed. Schwartz, J. H.) 157–176 (Oxford Univ. Press, 1988)."
60,"De Sousa, A. A. et al. Hominoid visual brain structure volumes and the position of the lunate sulcus. J. Hum. Evol. 58, 281–292 (2010)."
61,"MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K. & Gibson, K. R. Expansion of the neocerebellum in Hominoidea. J. Hum. Evol. 44, 401–429 (2003)."
62,"Rilling, J. K. & Insel, T. R. Evolution of the cerebellum in primates: differences in relative volume among monkeys, apes and humans. Brain Behav. Evol. 52, 308–314 (1998)."
62-63,"Rilling, J. K. & Insel, T. R. Evolution of the cerebellum in primates: differences in relative volume among monkeys, apes and humans. Brain Behav. Evol. 52, 308–314 (1998)."
64,"Sherwood, C. C. et al. Brain structure variation in great apes, with attention to the mountain gorilla (Gorilla beringei beringei). Am. J. Primatol. 63, 149–164 (2004)."
65,"Barks, S. K. et al. Brain organization of gorillas reflects species differences in ecology. Am. J. Phys. Anthropol. 156, 252–262 (2015)."
