Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Class,taxonomic class as printed as a section heading in the table (AVES / MAMMALIA),,Taxonomy,,info,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,attached from the nearest preceding section heading; not a printed column,"printed section headings, pp. 894-901"
Order,taxonomic order as printed as a section heading in the table,,Taxonomy,,info,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,attached from the nearest preceding section heading; not a printed column. Marsupial infraclass headings (Placentalia / Marsupialia) are not carried,"printed section headings, pp. 894-901"
Taxon,species binomial as printed,,Species,,info,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,"join key; printed names retained, no taxonomic updating applied here",printed Taxon column
T,torpor type: daily torpor (DT) or hibernation (HIB),whole-organism,Torpor.type,,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,"the paper's own classification, based on TBDmax greater or less than 24 h",printed column T; footnote p. 901
BM,body mass,whole-organism,Mass.kg,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,,printed column BM; footnote p. 901 gives kg
Tb min,minimum body temperature in torpor,whole-organism,Temperature.C,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,negative values occur in arctic ground squirrels and are printed as such,printed column Tb min; footnote p. 901 gives degrees C
TMRmin,minimum torpor metabolic rate,whole-organism,MetabolicRate.mlO2.g.h,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,,printed column TMRmin; footnote p. 901 gives ml O2 per g per h
TMRrel,minimum torpor metabolic rate expressed as a percentage of basal metabolic rate,whole-organism,MetabolicRate.pct,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,a ratio as printed by the authors; not recomputed here,printed column TMRrel; footnote p. 901
TBDmax,maximum torpor bout duration,whole-organism,Duration.h,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,the variable the paper uses to separate DT from HIB at 24 h,printed column TBDmax; footnote p. 901 gives hours
TBDmean,mean torpor bout duration,whole-organism,Duration.h,mean,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,,printed column TBDmean; footnote p. 901 gives hours
IBE,duration of interbout euthermia,whole-organism,Duration.h,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,the paper excludes IBE from its cluster analyses because it may be affected by prior torpor episodes,printed column IBE; footnote p. 901 gives hours; exclusion stated p. 902
LAT,latitude of the mid-point of the species range,whole-organism,Latitude.deg,point,primary,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,"NOT the latitude of the study site. Positive values north, negative south. Mammal values from the PanTHERIA database (Jones et al. 2009) for 159 species; 12 further mammals and all birds estimated from IUCN range maps",printed column LAT; footnote p. 901; method described p. 902
References,"primary study or studies for that species row, as printed",,Source,,info,Birds and mammals (213 species),Ruf_Geiser_2015_Table1,"Ruf & Geiser 2015 is a review; the measurer of each row is the cited work. Multi-citation cells are separated by ' and ' or ', ' as printed; split on the closing parenthesis of each citation and join to reference_tables/Ruf_Geiser_2015_Table1_references.csv on ref_key","printed References column, pp. 894-901"
