"Original_Term","Standardized_Term","Reference","Description"
"Whole brain Neuron number","Whole brain Neuron number","Metadata1_value1","Metadata2_value1"
"Whole brain n","Whole brain Neuron number","Metadata1_value2","Metadata2_value2"
"Br_N","Whole brain Neuron number","Metadata1_value3","Metadata2_value3"
"NBR","Whole brain Neuron number","Metadata1_value4","Metadata2_value4"
"Whole_brain n","Whole brain Neuron number","Metadata1_value5","Metadata2_value5"
"NBRAIN","Whole brain Neuron number","HerculanoHouzel_etal_2020","number of neurons in the brain"
"Body Mass, g","Body Mass, g","Metadata1_value7","Metadata2_value7"
"Body_Mass_g","Body Mass, g","Metadata1_value8","Metadata2_value8"
"Body mass, g","Body Mass, g","Metadata1_value9","Metadata2_value9"
"MBODY, g","Body Mass, g","HerculanoHouzel_etal_2020","Body mass, g"
"Species",NA,"DosSantos_etal_2017_TableS1",NA
"Body_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"whole_brain_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"Hippocampus_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebellum_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"RoB_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"diencephalon+striatum_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon+diencephalon+striatum_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"pons+medulla_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"Olfactory_bulb_Mass_g",NA,"DosSantos_etal_2017_TableS1",NA
"whole_brain_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_Grey_Matter_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"Hippocampus_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebellum_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"RoB_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"diencephalon+striatum_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon+diencephalon+striatum_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"pons+medulla_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"Olfactory_bulb_N_n",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_Grey_Matter_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"Hippocampus_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebellum_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"RoB_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"diencephalon+striatum_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon+diencephalon+striatum_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"pons+medulla_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"Olfactory_bulb_Nmg",NA,"DosSantos_etal_2017_TableS1",NA
"whole_brain_ON",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_ON",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebral_Cortex_Grey_Matter_ON",NA,"DosSantos_etal_2017_TableS1",NA
"Hippocampus_ON",NA,"DosSantos_etal_2017_TableS1",NA
"Cerebellum_ON",NA,"DosSantos_etal_2017_TableS1",NA
"RoB_ON",NA,"DosSantos_etal_2017_TableS1",NA
"diencephalon+striatum_ON",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon_ON",NA,"DosSantos_etal_2017_TableS1",NA
"mesencephalon+diencephalon+striatum_ON",NA,"DosSantos_etal_2017_TableS1",NA
"pons+medulla_ON",NA,"DosSantos_etal_2017_TableS1",NA
"Olfactory_bulb_ON",NA,"DosSantos_etal_2017_TableS1",NA
"Species name",NA,"DosSantos_etal_2020_Table1",NA
"Br_C",NA,"DosSantos_etal_2020_Table1",NA
"Br_I",NA,"DosSantos_etal_2020_Table1",NA
"Br_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"Br_I/N",NA,"DosSantos_etal_2020_Table1",NA
"Br_N",NA,"DosSantos_etal_2020_Table1",NA
"Br_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"Br_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"Br_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"Cb_C",NA,"DosSantos_etal_2020_Table1",NA
"Cb_I",NA,"DosSantos_etal_2020_Table1",NA
"Cb_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"Cb_I/N",NA,"DosSantos_etal_2020_Table1",NA
"Cb_N",NA,"DosSantos_etal_2020_Table1",NA
"Cb_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"Cb_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"Cb_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_C",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_I",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_I/N",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_N",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_N/mg",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_No. of samples",NA,"DosSantos_etal_2020_Table1",NA
"Ctx_Structure mass (g)",NA,"DosSantos_etal_2020_Table1",NA
"Cx_C",NA,"DosSantos_etal_2020_Table1",NA
"Cx_I",NA,"DosSantos_etal_2020_Table1",NA
"Cx_I/mg",NA,"DosSantos_etal_2020_Table1",NA
"Cx_I/N",NA,"DosSantos_etal_2020_Table1",NA
