Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species_sci,Harmonised accepted binomial (project species key),,,,info,Mammals,Lewitus_etal_2014_TableS1,join key,added in build
Species,Species name as printed in the supplement (underscored),,,,info,Mammals,Lewitus_etal_2014_TableS1,printed name preserved,
Body_weight,Body weight,,Mass.g,,secondary,Mammals,Lewitus_etal_2014_TableS1,,
Brain_weight_g,Brain weight g,,Mass.g,,secondary,Mammals,Lewitus_etal_2014_TableS1,,
Neonate_brain_weight_g,Neonate brain weight g,,Mass.g,,secondary,Mammals,Lewitus_etal_2014_TableS1,,
Neocortex_mm^3,Neocortex volume,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
GI,Gyrification index,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Ventricle_mm^3,Ventricle mm^3,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Maximum_lifespan_yrs,Maximum lifespan yrs,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Age_at_first_breeding_F_mnths,Age at first breeding F mnths,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Age_at_first_breeding_days,Age at first breeding days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Female_sexual_maturity_days,Female sexual maturity days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Male_sexual_maturity_days,Male sexual maturity days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Gestation_days,Gestation days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Litter_size,Litter size,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Litters_per_year,Litters per year,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Inter-litter_interval_days,Inter-litter interval days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Weaning_period_days,Weaning period days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Weight_at_birth_g,Weight at birth g,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Weight_at_weaning_g,Weight at weaning g,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Juvenility_primates_years,Juvenility primates years,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Juvenility_days,Juvenility days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Max_home_range_ha,Max home range ha,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
% Fruit and seeds,% Fruit and seeds,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Activity_timing,Activity timing,,,,info,Mammals,Lewitus_etal_2014_TableS1,,
Diet_breadth,Diet breadth,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Trophic_level,Trophic level,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Population_group_size,Population group size,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Social_group_size,Social group size,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Adult_head_body_length_mm,Adult head body length mm,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Age_at_eye_opening_days,Age at eye opening days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Altricial_precocial,Altricial precocial,,,,info,Mammals,Lewitus_etal_2014_TableS1,,
Basal_metabolic_rate,"Basal metabolic rate (journal header typo ""Basal_metaboic_rate"" corrected)",,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Dispersal_age_days,Dispersal age days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Habitat_breadth,Habitat breadth,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Social_system,Social system,,,,info,Mammals,Lewitus_etal_2014_TableS1,,
Glia_neuron_ratio,Glia:neuron ratio,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Neuronal_density,"Neuronal density in neocortex (journal header typo ""Neuronal_denisty"" corrected)",,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Glial_cell_density,"Glial cell density (journal header typo ""Glial_cell_denisty"" corrected)",,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Neurogenic_period_days,Neurogenic period days,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,
Phylo_rank,Phylo rank,,,,info,Mammals,Lewitus_etal_2014_TableS1,,
Method:typo_fix,"Corrected 3 journal header typos in the analysis output (denisty->density, metaboic->metabolic); snapshot keeps the printed spelling",,,,method,Mammals,Lewitus_etal_2014_TableS1,see README,
