"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"species_as_published","Study species. The table prints solver groups only; species from the paper's title and methods.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","Single-species study; groups are intraspecific.","Paper title/methods."
"solver_type","Problem-solving performance group (nonsolver / intermediate / solver) from the multi-access puzzle-box task.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","","Table 1 row labels."
"n_group","Animals in the solver group.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","","Printed as (N = x) in row labels."
"hemisphere_weight_mg_mean","Group mean weight of the dissected cerebral hemisphere, mg.","Cerebral hemisphere","Mass.mg","mean","primary","Procyon lotor","Jacob_etal_2021 TABLE 1","Printed in g; converted x1000 to project unit.","Table 1 'Hemisphere weight (g)'."
"hemisphere_weight_mg_sem","SEM of hemisphere weight, mg.","Cerebral hemisphere","Mass.mg","sem","primary","Procyon lotor","Jacob_etal_2021 TABLE 1","Printed in g; converted x1000.","Table 1."
"hemisphere_n","Effective n for hemisphere weight; footnote a = N - 1 (value missing for one animal).","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","","Derived from footnote a."
"hemisphere_footnote_ref","Footnote marker printed on the hemisphere cell.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","a = 'N - 1, value missing for one animal'.","Table 1 footnote."
"hippocampus_mg_mean","Group mean weight of the dissected hippocampus, mg.","Hippocampus","Mass.mg","mean","primary","Procyon lotor","Jacob_etal_2021 TABLE 1","Printed in mg; kept.","Table 1 'Hippocampus (mg)'."
"hippocampus_mg_sem","SEM of hippocampus weight, mg.","Hippocampus","Mass.mg","sem","primary","Procyon lotor","Jacob_etal_2021 TABLE 1","","Table 1."
"hippocampus_n","Effective n for hippocampus weight (no footnote printed).","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","",""
"somatosensory_cortex_mg_mean","Group mean weight of the dissected somatosensory cortex, mg.","Somatosensory cortex","Mass.mg","mean","primary","Procyon lotor","Jacob_etal_2021 TABLE 1","Printed in g; converted x1000.","Table 1 'Somatosensory cortex (g)'."
"somatosensory_cortex_mg_sem","SEM of somatosensory cortex weight, mg.","Somatosensory cortex","Mass.mg","sem","primary","Procyon lotor","Jacob_etal_2021 TABLE 1","Printed in g; converted x1000.","Table 1."
"somatosensory_cortex_n","Effective n; footnote a = N - 1.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","","Derived from footnote a."
"somatosensory_cortex_footnote_ref","Footnote marker printed on the somatosensory cell.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","a = 'N - 1, value missing for one animal'.","Table 1 footnote."
"source","Repository item identifier.","","","","info","Procyon lotor","Jacob_etal_2021 TABLE 1","","Metadata."
"Method:unit_conversion","Hemisphere and somatosensory cortex printed in g and converted to mg (x1000); hippocampus printed in mg.","","","","method","Procyon lotor","Jacob_etal_2021 TABLE 1","","This script; HOWTO section 6."
"Method:observation_level","Values are group means (+/- SEM) over individual raccoons within one species; structures dissected from one hemisphere. Pool across solver groups before any species-level use; do not treat rows as species.","","","","method","Procyon lotor","Jacob_etal_2021 TABLE 1","","Methods section 2.4; Table 1 note."
