species	reference	group	specimen	region	cell_type	measure	value	units
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Olfactory_bulbs		absolute_volume	25.797930625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Cerebellum		absolute_volume	61.507184875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Corpus_callosum		absolute_volume	8.205077750000001	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Midbrain		absolute_volume	29.2962475	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Lateral_ventricle		absolute_volume	4.363453625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Striatum		absolute_volume	37.324522	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Cortex		absolute_volume	140.41840262499997	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Hypothalamus		absolute_volume	11.2416435	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Third_ventricle		absolute_volume	0.92006725	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Hippocampus		absolute_volume	31.491706	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Thalamus		absolute_volume	15.733837125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Fimbria		absolute_volume	0.8702875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	1	Total		absolute_volume	367.170360375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Olfactory_bulbs		absolute_volume	27.59343625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Cerebellum		absolute_volume	66.169315375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Corpus_callosum		absolute_volume	7.346806125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Midbrain		absolute_volume	36.066293625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Lateral_ventricle		absolute_volume	3.6150405	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Striatum		absolute_volume	39.46676825	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Cortex		absolute_volume	144.7423765	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Hypothalamus		absolute_volume	11.907661875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Third_ventricle		absolute_volume	0.823940875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Hippocampus		absolute_volume	32.998830875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Thalamus		absolute_volume	9.132011375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Fimbria		absolute_volume	0.8891695	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	2	Total		absolute_volume	380.751651125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Olfactory_bulbs		absolute_volume	26.53776175	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Cerebellum		absolute_volume	64.356649375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Corpus_callosum		absolute_volume	7.662649875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Midbrain		absolute_volume	33.014280375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Lateral_ventricle		absolute_volume	3.3815906250000003	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Striatum		absolute_volume	37.688428875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Cortex		absolute_volume	138.317355125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Hypothalamus		absolute_volume	6.673921	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Third_ventricle		absolute_volume	0.9543981250000002	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Hippocampus		absolute_volume	34.22787475	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Thalamus		absolute_volume	17.575688375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Fimbria		absolute_volume	0.42570275	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	3	Total		absolute_volume	370.81630100000007	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	9	Olfactory_bulbs		absolute_volume	25.797931625	mm3
