species	reference	group	specimen	region	cell_type	measure	value	units
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Total	cell_density	509.25	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Neurons	cell_density	458.477775	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Non-neurons	cell_density	50.77222499999999	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Total	cell_density	94.046875	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Neurons	cell_density	36.96042	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Non-neurons	cell_density	57.08645	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Total	cell_density	645.3477822580645	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Neurons	cell_density	124.2294480846774	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Olfactory	Non-neurons	cell_density	521.1183341733871	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Total	cell_density	125	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Neurons	cell_density	17.0625	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Hippocampus	Non-neurons	cell_density	107.9375	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Total	cell_density	88.4	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Neurons	cell_density	30.409600000000005	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Rest	Non-neurons	cell_density	57.990400000000015	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Total	cell_density	870.091911764706	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Neurons	cell_density	810.751643382353	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cerebellum	Non-neurons	cell_density	59.34026838235306	cells_per_mg (as published; verify against paper)
Mus musculus	BarbeitoAndres_etal_2019	C		Cortex	Total	cell_density	75.83333333333333	cells_per_mg (as published; verify against paper)
