Museum,Accession,Genus,Species,Species_binomial,Sex,ECV_ml,Right_foramen_area_mm2,Right_major_diam_mm,Right_minor_diam_mm,Right_radius_from_D_mm,Right_radius_from_area_mm,Left_foramen_area_mm2,Left_major_diam_mm,Left_minor_diam_mm,Left_radius_from_D_mm,Left_radius_from_area_mm
USNM,395636,Gorilla,beringei,Gorilla beringei,M,500,17.7705,5.4215,4.1735,,2.378345187820526,18.981,5.807,4.157999999999999,,2.458015449433655
USNM,396934,Gorilla,beringei,Gorilla beringei,M,425,15.901,4.6215,4.3805,,2.249765654509033,15.999,4.888,4.1815,,2.256687809391114
USNM,397351,Gorilla,beringei,Gorilla beringei,M,450,15.555,4.5345,4.362,,2.225153990084476,12.5495,4.5235,3.5315,,1.998657028272605
USNM,545035,Gorilla,beringei,Gorilla beringei,M,500,25.917,5.8,5.69,,2.872218188130091,18.224,5.1995,4.4415,,2.408501477228819
USNM,545036,Gorilla,beringei,Gorilla beringei,M,525,17.662,5.219,4.3005,,2.371073429857901,17.82,5.084,4.4625,,2.381655342780552
USNM,545032,Gorilla,beringei,Gorilla beringei,M,450,15.8865,4.8325,4.1775,,2.248739648527323,13.57,4.649,3.7245,,2.078332301513413
USNM,260582,Gorilla,beringei,Gorilla beringei,F,475,13.7775,4.8855,3.5985,,2.094161993948218,12.913,4.777,3.442,,2.02739625142479
USNM,545031,Gorilla,beringei,Gorilla beringei,F,450,13.7305,4.6215,3.7785,,2.090586973136142,13.4595,4.394,3.8975,,2.069853113892561
USNM,545029,Gorilla,beringei,Gorilla beringei,F,425,13.446,4.7755,3.5815,,2.068814812791916,17.128,5.22,4.176,,2.334954331578236
USNM,545027,Gorilla,beringei,Gorilla beringei,F,400,14.709,4.8545,3.855,,2.163797614352455,15.22,4.939500000000001,3.922,,2.201062576965338
USNM,396935,Gorilla,beringei,Gorilla beringei,F,450,17.151,5.448,4.008,,2.336521529525931,12.853,4.59,3.5635,,2.022680638934446
USNM,397353,Gorilla,beringei,Gorilla beringei,F,425,23.6345,5.7125,5.2675,,2.742826098207978,20.3515,5.927,4.371,,2.545207977488169
UWits,Za1290,Gorilla,beringei,Gorilla beringei,,555,14.514,4.613,4.006,,2.149406822374847,12.796,4.206,3.874,,2.018190601407059
UWits,Za1311,Gorilla,beringei,Gorilla beringei,,565,14.638,4.669,3.992,,2.158568996802819,15.546,4.98,3.974,,2.224510168691798
UWits,Za95,Gorilla,beringei,Gorilla beringei,,500,11.265,4.094,3.503,,1.893610537534158,15.901,4.755,4.257,,2.249765654509033
UWits,Za1312,Gorilla,beringei,Gorilla beringei,,620,13.141,4.627,3.616,,2.045216422372262,13.306,4.408,3.843,,2.058016361830371
USNM,176216,Gorilla,gorilla,Gorilla gorilla,M,500,18.964,5.041,4.79,,2.456914463629006,18.964,5.041,4.79,,2.456914463629006
USNM,176211,Gorilla,gorilla,Gorilla gorilla,M,575,18.925,5.466,4.407500000000001,,2.454386806521792,16.8415,5.1555,4.1595,,2.315343591816193
USNM,590970,Gorilla,gorilla,Gorilla gorilla,M,600,18.2585,4.821,4.821,,2.410780175977632,15.993,4.762,4.2775,,2.2562646142989
USNM,176217,Gorilla,gorilla,Gorilla gorilla,M,575,15.2035,4.5875,4.218999999999999,,2.19986916760867,16.7365,4.907,4.3435,,2.308114687383409
USNM,599166,Gorilla,gorilla,Gorilla gorilla,F,550,11.2545,3.8465,3.7255,,1.892727823554003,10.051,3.663,3.4935,,1.788667846760063
USNM,252579,Gorilla,gorilla,Gorilla gorilla,F,450,10.7675,3.8195,3.588,,1.851324309645386,10.5535,3.8135,3.522,,1.83283479447566
USNM,252577,Gorilla,gorilla,Gorilla gorilla,F,400,8.0825,3.3395,3.0815,,1.603976201531833,6.4475,2.9775,2.751,,1.432586119983713
USNM,599168,Gorilla,gorilla,Gorilla gorilla,F,450,18.0295,5.189500000000001,4.4405,,2.395614345622152,15.439,4.7925,4.1015,,2.216841521803384
USNM,252582,Gorilla,gorilla,Gorilla gorilla,F,375,13.135,4.5385,3.6845,,2.044749460208778,12.1055,4.2715,3.606,,1.962982508123258
USNM,574138,Gorilla,gorilla,Gorilla gorilla,M,500,24.625,5.811,5.3825,,2.799710868514077,21.6465,5.7,4.816,,2.624937132823837
SAM,A50163,Gorilla,gorilla,Gorilla gorilla,M?,519,,,,2.071,,,,,1.9135,
SAM,A50164,Gorilla,gorilla,Gorilla gorilla,M?,525,,,,1.7915,,,,,1.806,
SAM,A50162,Gorilla,gorilla,Gorilla gorilla,F?,400,,,,1.5385,,,,,1.5385,
UWits,BPI/C544,Gorilla,sp.,Gorilla sp.,,510,10.823,3.926,3.51,,1.856089410068159,9.89,3.749,3.359,,1.774284299191561
UWits,MS365,Gorilla,sp.,Gorilla sp.,,530,16.9125,4.974500000000001,4.2665,,2.320218944428167,13.3185,4.585,3.6945,,2.058982811763812
AMNH,AMNH-M-54356,Gorilla,sp.,Gorilla sp.,,,,3.938,2.813,,0,,3.723,3.061,,0
AMNH,AMNH-A-99-9686,Gorilla,sp.,Gorilla sp.,,,,5.176,3.742,,0,,5.398,3.455,,0
AMNH,AMNH-A-99-9687,Gorilla,sp.,Gorilla sp.,,,,4.244,3.028,,0,,4.528,3.266,,0
CM,CM20985,Gorilla,sp.,Gorilla sp.,M,475,13.865,4.315,4.092,,2.100801411827938,10.916,3.838,3.63,,1.864046865715092
CM,CM40596,Gorilla,sp.,Gorilla sp.,J,455,11.58,4.107,3.59,,1.919903248085251,10.411,4.036,3.284,,1.82041869498735
CM,CM1786,Gorilla,sp.,Gorilla sp.,F,460,14.795,4.662,4.041,,2.170113998408651,10.939,4.08,3.413,,1.866009604735326
CM,CM42760,Gorilla,sp.,Gorilla sp.,F? no crest,450,12.207,4.37,3.556,,1.971194759694113,13.229,4.384,3.842,,2.052052992572406
CM,CM42754,Gorilla,sp.,Gorilla sp.,M,505,15.807,5.27,3.819,,2.243105965153492,13.209,4.2,4.005,,2.050501228139523
CM,CM5103,Gorilla,sp.,Gorilla sp.,M,560,19.569,5.424,4.594,,2.495797700682209,17.287,4.954,4.443,,2.345767039255857
CM,CM20986,Gorilla,sp.,Gorilla sp.,F,470,13.384,4.411,3.863,,2.064039611219672,9.887,3.839,3.28,,1.77401517600587
CM,CM42761,Gorilla,sp.,Gorilla sp.,F? no crest,485,13.692,4.633,3.763,,2.087653937229172,11.291,4.207,3.417,,1.895794536573302
UWits,A732,Homo,sapiens,Homo sapiens,,1310,15.906,5.379,3.765,,2.250119341199345,20.863,5.801,4.579,,2.576994209433235
UWits,A702,Homo,sapiens,Homo sapiens,,1395,21.25,6.25,4.329,,2.60078547393005,16.338,5.477,3.798,,2.280470767291432
UWits,A704,Homo,sapiens,Homo sapiens,,1365,24.758,6.591,4.783,,2.807261327724636,22.726,6.313,4.583,,2.689592994007239
UWits,A688,Homo,sapiens,Homo sapiens,,1135,15.324,5.187,3.762,,2.208569830428825,17.929,5.606,4.072,,2.388928200969879
UWits,A80,Homo,sapiens,Homo sapiens,,1520,23.626,6.437,4.673,,2.74233283373449,14.376,5.022,3.645,,2.139164071261991
UWits,A3709,Homo,sapiens,Homo sapiens,,1790,25.445,6.68,4.85,,2.845943613978772,23.009,6.349,4.614,,2.706287525597168
UWits,A1451,Homo,sapiens,Homo sapiens,,1040,20.253,5.956,4.33,,2.539041182194631,19.99,5.917,4.302,,2.522501660022046
UWits,A2053,Homo,sapiens,Homo sapiens,,1470,24.967,6.486,4.901,,2.819085477304777,25.864,6.601,4.989,,2.869279856733665
UWits,A734,Homo,sapiens,Homo sapiens,,1155,25.406,6.543,4.944,,2.843761763647825,29.777,7.334,5.17,,3.078686973515615
UWits,A740,Homo,sapiens,Homo sapiens,,1120,16.398,5.331,3.917,,2.284654353210087,18.492,5.666,4.156,,2.426146412587389
SAM,Roger,Homo,sapiens,Homo sapiens,,1305,,,,2.551,,,,,2.255,
SAM,3G,Homo,sapiens,Homo sapiens,,1094,,,,2.609,,,,,2.852,
SAM,SCH-21,Homo,sapiens,Homo sapiens,,950,,,,2.1745,,,,,2.375,
SAM,FMS-2,Homo,sapiens,Homo sapiens,M,1325,,,,2.656,,,,,2.7575,
SAM,4E,Homo,sapiens,Homo sapiens,,1345,,,,2.93,,,,,2.691,
SAM,George,Homo,sapiens,Homo sapiens,,1155,,,,2.9355,,,,,2.7145,
SAM,C,Homo,sapiens,Homo sapiens,,1130,,,,3.185,,,,,2.956,
USNM,398227,Pan,paniscus,Pan paniscus,F,300,10.1695,3.901,3.319,,1.799181032455061,8.458,3.653,2.9295,,1.640812304117232
UWits,BPI/4/1288,Pan,paniscus,Pan paniscus,,300,11.7595,4.095000000000001,3.655,,1.934726106346396,9.439,4.058,2.9615,,1.733357151797863
SAM,M5017,Pan,sp.,Pan sp.,F,355,,,,1.5705,,,,,1.552,
USNM,176228,Pan,troglodytes,Pan troglodytes,M,400,18.4895,5.151,4.569,,2.425982407313622,19.3285,5.547499999999999,4.433999999999999,,2.480413803199659
USNM,174703,Pan,troglodytes,Pan troglodytes,M,325,12.42,4.45,3.5535,,1.988318079785697,12.5305,4.3655,3.6545,,1.997143467261676
USNM,395820,Pan,troglodytes,Pan troglodytes,M,450,14.117,4.6255,3.874,,2.119806751394234,13.931,4.736,3.744,,2.105795579923746
USNM,599172,Pan,troglodytes,Pan troglodytes,M,400,19.5,5.432,4.5715,,2.49139374258344,18.3655,5.368,4.353999999999999,,2.41783378558337
USNM,174710,Pan,troglodytes,Pan troglodytes,F,375,16.1445,5.0525,4.068,,2.266926103227498,18.0385,5.0215,4.571999999999999,,2.396212194678574
USNM,174699,Pan,troglodytes,Pan troglodytes,F,300,17.0835,5.249499999999999,4.142,,2.331919153963273,14.029,4.4585,4.0065,,2.113189388879378
USNM,174701,Pan,troglodytes,Pan troglodytes,F,400,13.1205,4.238,3.94,,2.043620527807064,12.287,4.1015,3.814,,1.977643438929332
USNM,481803,Pan,troglodytes,Pan troglodytes,F,400,14.9335,5.031,3.778,,2.18024784951749,13.8625,4.5035,3.9195,,2.100612005398141
USNM,220063,Pan,troglodytes,Pan troglodytes,F,325,12.614,4.295,3.739,,2.003786641417278,15.015,4.76,4.013,,2.186189136614126
USNM,176235,Pan,troglodytes,Pan troglodytes,M,350,11.043,4.2485,3.3095,,1.87485894752848,14.147,4.528,3.978,,2.122057953931062
UWits,Za1041,Pan,troglodytes,Pan troglodytes,,475,9.716125,3.978875,3.099625000000001,,1.75861839035576,9.918,4.2508,2.9694,,1.776794149914625
UWits,Za1355,Pan,troglodytes,Pan troglodytes,,350,8.033999999999999,3.4765,2.9415,,1.59915653567766,8.1465,3.5045,2.96,,1.610314096006196
UWits,Za1071,Pan,troglodytes,Pan troglodytes,,380,14.426,4.6625,3.9395,,2.142880868850941,11.332,4.3985,3.265,,1.899233432265428
UWits,Za1040,Pan,troglodytes,Pan troglodytes,,395,4.920500000000001,2.629,2.3805,,1.25149662203593,9.143,3.668,3.163,,1.705962276657488
UWits,MS366,Pan,troglodytes,Pan troglodytes,,370,7.6075,3.4765,2.8035,,1.556130604783283,7.089499999999999,3.1545,2.8425,,1.502217673341644
UWits,Za1341,Pan,troglodytes,Pan troglodytes,,370,9.136,4.0105,2.9,,1.705309098132978,7.9915,3.3055,3.0745,,1.594921143955952
UWits,unnumbered,Pan,troglodytes,Pan troglodytes,,315,9.193,3.9135,2.9905,,1.710620584375036,10.0205,3.9865,3.202,,1.785951907108552
UWits,Za94,Pan,troglodytes,Pan troglodytes,,310,15.3645,5.031499999999999,3.888,,2.21148643366195,11.2045,3.843,3.706,,1.888518763408583
AMNH,AMNH M 167342,Pan,troglodytes,Pan troglodytes,,,,4.6430965,3.8003855,,,,4.396000000000001,3.7545,,
