Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,journal-printed (abbreviated) species label; accepted binomial resolved via _keys/Stephan/species_key.csv token Seymour2017,,,,info,Fossil Hominins,Seymour_etal_2017_TableS1,e.g. "H. floresiensis"; parentheticals (Bushman / soloensis) kept as printed,
Specimen,specimen / accession identifier,,,,info,Fossil Hominins,Seymour_etal_2017_TableS1,,
Original_or_Cast,measurement made on the original (O) or a cast (C),,,,info,Fossil Hominins,Seymour_etal_2017_TableS1,,
Foramen_radius_cm,internal carotid foramen radius (rICF) in cm,Internal carotid foramen,radius.cm,,primary,Fossil Hominins,Seymour_etal_2017_TableS1,as printed,
Lumen_radius_cm,internal carotid artery lumen radius (rICA) in cm,Internal carotid artery,radius.cm,,primary,Fossil Hominins,Seymour_etal_2017_TableS1,estimated from foramen radius,
Total_QICA_cm3_s,total internal carotid blood flow rate (both arteries) in cm3 s-1,Internal carotid artery,flow.cm3.s,,primary,Fossil Hominins,Seymour_etal_2017_TableS1,revised values (this Correction),
Body_mass_note,footnote letter (a-i) qualifying the body-mass estimate,,,,note,Fossil Hominins,Seymour_etal_2017_TableS1,see README / snapshot footnotes,
Body_mass_kg,body mass in kilograms as printed (footnote letter removed),,Mass.kg,,info,Fossil Hominins,Seymour_etal_2017_TableS1,original unit; see Body_mass_g for project unit,
Body_mass_g,body mass in grams (project unit),,Mass.g,,primary,Fossil Hominins,Seymour_etal_2017_TableS1,= Body_mass_kg * 1000,
Body_mass_ref,source of the body-mass estimate,,,,info,Fossil Hominins,Seymour_etal_2017_TableS1,free text; numbers cite the reference list,
Brain_volume_cm3,brain (endocranial) volume in cm3 (= ml),Whole Brain,Vol.ml,,primary,Fossil Hominins,Seymour_etal_2017_TableS1,brain mass g = Vbr x 1.036 if needed downstream,
Brain_volume_ref,source of the brain-volume estimate,,,,info,Fossil Hominins,Seymour_etal_2017_TableS1,free text; numbers cite the reference list,
Age_note,footnote letter (A-I) qualifying the specimen age,,,,note,Fossil Hominins,Seymour_etal_2017_TableS1,,
Age_Mya,specimen age in millions of years, as printed (value or range),,,,info,Fossil Hominins,Seymour_etal_2017_TableS1,kept verbatim; ranges not parsed,
Method:brain_mass,brain mass (g) = brain volume (ml) x 1.036 (brain-tissue density),,,,method,,Seymour_etal_2017_TableS1,derivation only; not a snapshot column,
