"Species","Species_raw","measure_class","Measure","Units","Value_canonical","raw_value","raw_unit","Source","first_author","Year","Team","role"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","113000","113","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","113000","113","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","113000","113","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Pan troglodytes","Pan troglodytes","mass","Body_Mass","g","63500","63.5","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","113000","113","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","113000","113","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5930","5.93","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Gorilla gorilla","Gorilla gorilla","mass","Body_Mass","g","203000","203","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","113000","113","kg","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary"
"Panthera leo","Panthera leo","mass","Body_Mass","g","155800","155800","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Panthera leo","Panthera leo","mass","Body_Mass","g","155800","155800","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Lycaon pictus","Lycaon pictus","mass","Body_Mass","g","26300","26300","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Lycaon pictus","Lycaon pictus","mass","Body_Mass","g","26300","26300","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Panthera pardus orientalis","Panthera pardus orientalis","mass","Body_Mass","g","52400","52400","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Panthera pardus orientalis","Panthera pardus orientalis","mass","Body_Mass","g","52400","52400","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Amblonyx cinereus","Amblonyx cinereus","mass","Body_Mass","g","3500","3500","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Amblonyx cinereus","Amblonyx cinereus","mass","Body_Mass","g","3500","3500","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Mungos mungo","Mungos mungo","mass","Body_Mass","g","1300","1300","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Mungos mungo","Mungos mungo","mass","Body_Mass","g","1300","1300","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Caracal caracal","Caracal caracal","mass","Body_Mass","g","11600","11600","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Caracal caracal","Caracal caracal","mass","Body_Mass","g","11600","11600","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Mustela putorius","Mustela putorius","mass","Body_Mass","g","1100","1100","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Mustela putorius","Mustela putorius","mass","Body_Mass","g","1100","1100","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Pagophilus groenlandicus","Pagophilus groenlandicus","mass","Body_Mass","g","132300","132300","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Pagophilus groenlandicus","Pagophilus groenlandicus","mass","Body_Mass","g","132300","132300","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Callorhinus ursinus","Callorhinus ursinus","mass","Body_Mass","g","135900","135900","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Callorhinus ursinus","Callorhinus ursinus","mass","Body_Mass","g","135900","135900","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Procyon lotor","Procyon lotor","mass","Body_Mass","g","6400","6400","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Procyon lotor","Procyon lotor","mass","Body_Mass","g","6400","6400","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Panthera tigris altaica","Panthera tigris altaica","mass","Body_Mass","g","161000","161000","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Panthera tigris altaica","Panthera tigris altaica","mass","Body_Mass","g","161000","161000","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Saimiri boliviensis","Saimiri boliviensis","mass","Body_Mass","g","900","900","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Saimiri boliviensis","Saimiri boliviensis","mass","Body_Mass","g","900","900","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Papio ursinus","Papio ursinus","mass","Body_Mass","g","31000","31000","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Papio ursinus","Papio ursinus","mass","Body_Mass","g","31000","31000","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Saguinus oedipus","Saguinus oedipus","mass","Body_Mass","g","400","400","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Saguinus oedipus","Saguinus oedipus","mass","Body_Mass","g","400","400","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Leontopithecus rosalia","Leontopithecus rosalia","mass","Body_Mass","g","600","600","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Leontopithecus rosalia","Leontopithecus rosalia","mass","Body_Mass","g","600","600","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Papio hamadryas","Papio hamadryas","mass","Body_Mass","g","26000","26000","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Papio hamadryas","Papio hamadryas","mass","Body_Mass","g","26000","26000","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5500","5500","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Hylobates lar","Hylobates lar","mass","Body_Mass","g","5500","5500","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Callithrix pygmaea","Cebuella pygmaea","mass","Body_Mass","g","100","100","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Callithrix pygmaea","Cebuella pygmaea","mass","Body_Mass","g","100","100","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Cercopithecus ascanius","Cercopithecus ascanius","mass","Body_Mass","g","4200","4200","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Cercopithecus ascanius","Cercopithecus ascanius","mass","Body_Mass","g","4200","4200","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Chlorocebus pygerythrus","Chlorocebus pygerythrus","mass","Body_Mass","g","5600","5600","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Chlorocebus pygerythrus","Chlorocebus pygerythrus","mass","Body_Mass","g","5600","5600","g","10.1002%2Fcne.24349_Table3.tsv","Jacobs","2018","Jacobs","info"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","54333","54333","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Pongo pygmaeus","Orang-utan","mass","Body_Mass","g","21000","21000","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Blackheaded parrot (Adapornis personata)","Blackheaded parrot (Adapornis personata)","mass","Body_Mass","g","40","40","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Cerkof monkey (Macacus sinicus)","Cerkof monkey (Macacus sinicus)","mass","Body_Mass","g","1538","1538","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Sparrow (Passer domesticus)","Sparrow (Passer domesticus)","mass","Body_Mass","g","27","27","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Swallow (Hirundo rustica)","Swallow (Hirundo rustica)","mass","Body_Mass","g","18","18","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Swallow (Hirundo rustica)","Swallow (Hirundo rustica)","mass","Body_Mass","g","20","20","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Dog (Canis familiaris)","Dog (Canis familiaris)","mass","Body_Mass","g","7150","7150","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Dog (Canis familiaris)","Dog (Canis familiaris)","mass","Body_Mass","g","12300","12300","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"White mouse (mus musculus albus)","White mouse (mus musculus albus)","mass","Body_Mass","g","16.5","16.5","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"White mouse (mus musculus albus)","White mouse (mus musculus albus)","mass","Body_Mass","g","19.6","19.6","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Grey rat (Mus decomanus gris)","Grey rat (Mus decomanus gris)","mass","Body_Mass","g","77","77","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Grey rat (Mus decomanus gris)","Grey rat (Mus decomanus gris)","mass","Body_Mass","g","85","85","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"White rat (Mus decom. alb.)","White rat (Mus decom. alb.)","mass","Body_Mass","g","213.5","213.5","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Guinea-pig (Cavia porcellus)","Guinea-pig (Cavia porcellus)","mass","Body_Mass","g","649.4","649.4","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Cat (Felis domestica)","Cat (Felis domestica)","mass","Body_Mass","g","4650","4650","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"White rat (Mus decom. alb.)","White rat (Mus decom. alb.)","mass","Body_Mass","g","21","21","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Pigeon (Columba domest.)","Pigeon (Columba domest.)","mass","Body_Mass","g","335","335","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Marmot (Arctomys marmota)","Marmot (Arctomys marmota)","mass","Body_Mass","g","1980","1980","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Pigeon (Columba domest.)","Pigeon (Columba domest.)","mass","Body_Mass","g","326","326","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Rabbit (Race X) (Oryctolagus cuniculus)","Rabbit (Race X) (Oryctolagus cuniculus)","mass","Body_Mass","g","1565.4","1565.4","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Hen (Gallus domest.)","Hen (Gallus domest.)","mass","Body_Mass","g","1734.9","1734.9","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Frog (Rana esculenta)","Frog (Rana esculenta)","mass","Body_Mass","g","48","48","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Rabbit (Race III) (Oryctolagus cuniculus)","Rabbit (Race III) (Oryctolagus cuniculus)","mass","Body_Mass","g","2661.2","2661.2","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Cock (Gallus domest.)","Cock (Gallus domest.)","mass","Body_Mass","g","2498.2","2498.2","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Cock (Gallus domest.)","Cock (Gallus domest.)","mass","Body_Mass","g","1800","1800","g","10.1002%2Fcne.901270108_Table2.tsv","Krompecher","1966","Krompecher","secondary"
"Rattus norvegicus","Rattus norvegicus","mass","Body_Mass","g","268","268","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Dasypus novemcinctus","Dasypus novemcinctus","mass","Body_Mass","g","5000","5000","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Galago senegalensis","Galago senegalensis","mass","Body_Mass","g","160","160","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Felis catus","Felis catus","mass","Body_Mass","g","3068","3068","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Sciurus carolinensis","Sciurus carolinensis","mass","Body_Mass","g","400","400","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Spermophilus tridecemlineatus","Spermophilus tridecemlineatus","mass","Body_Mass","g","150","150","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Atelerix albiventris","Atelerix albiventris","mass","Body_Mass","g","410","410","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Erinaceus europaeus","Erinaceus europaeus","mass","Body_Mass","g","315","315","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Hemiechinus auritus","Hemiechinus auritus","mass","Body_Mass","g","203","203","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Procavia capensis","Procavia capensis","mass","Body_Mass","g","2500","2500","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Cryptotis parva","Cryptotis parva","mass","Body_Mass","g","8","8","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Callithrix jacchus","Callithrix jacchus","mass","Body_Mass","g","287","287","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Scalopus aquaticus","Scalopus aquaticus","mass","Body_Mass","g","53","53","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Chlorocebus aethiops","Chlorocebus aethiops","mass","Body_Mass","g","1370","1370","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Macaca fascicularis","Macaca fascicularis","mass","Body_Mass","g","1932","1932","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Macaca mulatta","Macaca mulatta","mass","Body_Mass","g","3300","3300","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Saimiri sciureus","Saimiri sciureus","mass","Body_Mass","g","691","691","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Didelphis virginiana","Didelphis virginiana","mass","Body_Mass","g","2727","2727","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Monodelphis domestica","Monodelphis domestica","mass","Body_Mass","g","83","83","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Oryctolagus cuniculus","Oryctolagus cuniculus","mass","Body_Mass","g","5230","5230","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Procyon lotor","Procyon lotor","mass","Body_Mass","g","4091","4091","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Nycticebus coucang","Nycticebus coucang","mass","Body_Mass","g","965","965","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Tupaia glis","Tupaia glis","mass","Body_Mass","g","230","230","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Microtus pinetorum","Microtus pinetorum","mass","Body_Mass","g","16","16","g","10.1002%2Fcne.903580203_TABLE1.tsv","Nudo","1995","Nudo","primary"
"Monodelphis domestica","Monodelphis domestica","mass","Body_Mass","g","92","0.092","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Dasyuroides byrnei","Dasyuroides byrnei","mass","Body_Mass","g","145","0.145","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Galea musteloides","Galea musteloides","mass","Body_Mass","g","300","0.3","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Rattus norvegicus","Rattus norvegicus","mass","Body_Mass","g","350","0.35","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Ochotona rufescens","Ochotona rufescens","mass","Body_Mass","g","250","0.25","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Procavia capensis","Procavia capensis","mass","Body_Mass","g","1200","1.2","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Tupaia glis","Tupaia glis","mass","Body_Mass","g","180","0.18","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Microcebus murinus","Microcebus murinus","mass","Body_Mass","g","100","0.1","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Galea musteloides","Galea musteloides","mass","Body_Mass","g","139.8","0.1398","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Galea musteloides","Galea musteloides","mass","Body_Mass","g","206.6","0.2066","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Tupaia glis","Tupaia glis","mass","Body_Mass","g","151","0.151","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Tupaia glis","Tupaia glis","mass","Body_Mass","g","210","0.21","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Pan paniscus","Pan paniscus","mass","Body_Mass","g","37200","37.2","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Pan paniscus","Pan paniscus","mass","Body_Mass","g","26300","26.3","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Pan paniscus","Pan paniscus","mass","Body_Mass","g","28200","28.2","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","90000","90","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","80000","80","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Homo sapiens","Homo sapiens","mass","Body_Mass","g","60000","60","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
"Microcebus murinus","Microcebus murinus","mass","Body_Mass","g","110","0.11","kg","10.1002%2Fjez.70069_SupplementaryFile3.tsv","MedinaGonzález","2026","MedinaGonzález","secondary"
