Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Cx,"Cerebral cortex (including grey matter, white matter and hippocampus)",CerebralCortex,,,primary,Mammals,DosSantos_etal_2020_Table1,,
Cb,Cerebellum,Cerebellum,,,primary,Mammals,DosSantos_etal_2020_Table1,,
RoB,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",RoB,,,primary,Mammals,DosSantos_etal_2020_Table1,,
P+M,Pons and medulla oblongata,PonsMedulla,,,primary,Mammals,DosSantos_etal_2020_Table1,,
Ctx,"Cerebral cortex (grey and white matter, excluding hippocampus)",CerebralCortexNoHippocampus,,,primary,Mammals,DosSantos_etal_2020_Table1,,
Hp,Hippocampus,Hippocampus,,,primary,Mammals,DosSantos_etal_2020_Table1,,
Br,"whole brain (corresponding to the joint value of the respective Cx, Cb and RoB)",WholeBrain,,,primary,Mammals,DosSantos_etal_2020_Table1,,
C,Total number of cells in the structure,,C.n,,primary,Mammals,DosSantos_etal_2020_Table1,,
N,Total number of neurons in the structure,,N.n,,primary,Mammals,DosSantos_etal_2020_Table1,,
I,Total number of microglia in the structure,,I.n,,primary,Mammals,DosSantos_etal_2020_Table1,,
N/mg,number of neuronal cells per milligram of structure,,N.p.mg,,primary,Mammals,DosSantos_etal_2020_Table1,,
I/mg,Number of microglia per milligram of structure,,I.p.mg,,primary,Mammals,DosSantos_etal_2020_Table1,"proportion of microglial cell nuclei in each sample was determined by immunocytochemical detection of the antigen Iba1, specifically expressed in both the nucleus and cytoplasm of active and resting microglia; ""The fraction of DAPI+ cell nuclei that were Iba1+ was determined by unbiased systematic counting of contiguous squares in a modified Neubauer chamber",
I/N,Microglia/Neuron ratio,,I.p.N,,primary,Mammals,DosSantos_etal_2020_Table1,,
Structure mass (g),mass in grams,,Mass.g,,primary,Mammals,DosSantos_etal_2020_Table1,,
No. of samples,number of samples of free nuclei prepared with isotropic fractionator,,S.n,,primary,Mammals,DosSantos_etal_2020_Table1,,
I/C,Microglia/Cell ratio,,I.p.C,,primary,Mammals,DosSantos_etal_2020_unpublished,"only in the unpublished data, it should be the original measure other microglia, I, measures are calculated from",
