"species","N","Medulla_volume_Mean","Medulla_volume_SD","Vmo_volume_Mean","Vmo_volume_SD","VII_volume_Mean","VII_volume_SD","XII_volume_Mean","XII_volume_SD"
"Alouatta seniculus","2","1593.25","400.5","2.26","0.58","1.73","0.62","1.62","0.42"
"Aotus trivirgatus","4","675.3","54.99","0.86","0.12","1.24","0.34","0.87","0.13"
"Ateles geoffroyi","1","1833.67","","1.8","","1.65","","1.78",""
"Avahi laniger laniger","2","553.35","27.87","0.88","0.12","1.07","0.08","0.74","0.03"
"Avahi laniger occidentalis","2","508.46","57.67","0.82","0.06","0.81","0","0.62","0.01"
"Callicebus moloch","2","786.82","71.55","1","0.14","1.18","0.13","0.98","0.01"
"Callimico goeldii","1","460.1","","0.55","","0.48","","0.54",""
"Callithrix jacchus","4","318.24","39.74","0.47","0.07","0.54","0.1","0.44","0.04"
"Cebuella pygmaea","2","185","10.47","0.28","0.07","0.27","0","0.28","0.05"
"Cebus albifrons","2","1738.26","78.27","2.16","0.13","2.47","0.55","1.98","0.25"
"Cercopithecus ascanius","2","1802.09","240.43","2.07","0.27","2.64","0.34","1.99","0.31"
"Cercopithecus mitis","1","1998.9","","2.14","","3.07","","2.07",""
"Cheirogaleus major","2","381.62","17.17","0.52","0.12","0.78","0.01","0.92","0.28"
"Cheirogaleus medius","2","202.38","5.62","0.3","0.06","0.52","0.01","0.57","0.06"
"Daubentonia madagascariensis","1","1517.1","","1.91","","2","","2.19",""
"Erythrocebus patas","2","2615.67","112.28","2.33","0.3","4.59","0.19","2.4","0.29"
"Eulemur fulvus","3","909.39","93.37","1.04","0.2","1.39","0.15","1.52","0.26"
"Galago senegalensis","1","254.3","","0.29","","0.59","","0.35",""
"Galagoides demidoff","2","169.13","14.08","0.22","0.02","0.48","0.01","0.28","0.04"
"Gorilla gorilla","3","8393.91","1385.35","9.49","1.89","13.26","3.6","10.2","2.79"
"Homo sapiens","5","9699.79","711.33","7.74","2.03","12.95","2.72","14.39","2.99"
"Hylobates lar","3","2249.16","118.66","1.96","0.08","2.06","0.24","2.44","0.3"
"Indri indri","2","1342.01","47.53","1.72","0.21","2.45","0.3","1.84","0.18"
"Lagothrix lagothricha","3","2109.54","323.24","2.56","0.47","2.68","0.34","2.13","0.34"
"Lepilemur ruficaudatus","3","449.28","48.21","0.69","0.09","0.91","0.08","1.15","0.23"
"Lophocebus albigena","1","2670.59","","3.27","","4.31","","3.06",""
"Loris tardigradus","2","287.23","77.13","0.53","0.14","0.56","0.1","0.47","0.02"
"Macaca mulatta","2","2329.14","126.13","3.84","0.58","4.92","0.61","3.85","0.57"
"Microcebus murinus","6","99.03","12.49","0.13","0.02","0.29","0.06","0.25","0.03"
"Miopithecus talapoin","2","1034.79","188.62","1.47","0.05","1.86","0.57","1.22","0.03"
"Nasalis larvatus","1","2945.18","","2.82","","4.41","","2.18",""
"Nycticebus coucang","2","528.14","27.69","1.04","0.27","0.95","0.12","0.76","0.21"
"Otolemur crassicaudatus","2","539.87","89.56","0.87","0.05","1.41","0.19","0.81","0.26"
"Pan paniscus","2","4152.02","710.28","2.89","0.12","7.5","0.96","4.09","1.21"
"Pan troglodytes","3","6027.39","1282.37","5.09","1.14","12.32","1.18","7.84","3.08"
"Papio anubis","1","5171.17","","6.16","","7.44","","4.62",""
"Perodicticus potto","2","679.74","8.71","1.11","0.22","1.29","0.31","1.28","0.19"
"Procolobus badius","2","2007.11","48.95","2.23","0.05","2.26","0.3","1.51","0.02"
"Pithecia monachus","2","1008.88","24.08","1.32","0.18","1.34","0.1","1.36","0.19"
"Pongo pygmaeus","3","5172.05","579.77","6.31","2.54","12.82","5.7","12.11","2.26"
"Propithecus verreauxi","2","1222.63","32.91","1.68","0.32","1.96","0.01","1.62","0.13"
"Pygathrix nemaeus","1","2206.11","","2.18","","2.79","","1.57",""
"Saguinus midas","2","428.47","8.48","0.52","0.02","0.63","0.03","0.56","0.04"
"Saguinus oedipus","3","413.31","64.68","0.54","0.09","0.5","0.1","0.62","0.07"
"Saimiri sciureus","1","721.53","","0.76","","0.84","","0.82",""
"Tarsius syrichta","2","206.85","32.59","0.36","0.05","0.75","0.18","0.28","0.08"
"Varecia variegata","1","1420","","1.61","","2.65","","3.13",""
