Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Stephan_code,Stephan collection 4-digit specimen/species code printed before the name,,,info,,,Stephan_etal_1988_Table1,links to the Stephan brain collection numbering used across Stephan/Baron/Frahm papers,
Species,species name as printed in Stephan Baron & Frahm 1988 Table 1 (classification of the day),,,info,,,Stephan_etal_1988_Table1,"single ""species"" column in the snapshot also carries the grade labels (Tenrecinae/Scandentia/Prosimians/Simians) as rows; taxonomy applied later via ../_keys/Stephan/species_key.csv",
BoW_g,body weight in grams,Body_weight,Mass.g,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1988_Table1,snapshot 'BoW (g)'; printed with thousands commas; pools with Stephan_etal_1981 body weight,
BrW_mg,brain weight (fresh) in milligrams,Brain_weight,Mass.mg,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1988_Table1,snapshot 'BrW (mg)'; printed with thousands commas; pools with Stephan_etal_1981 brain weight,
EI,encephalization index (observed brain weight relative to the Tenrecinae reference line),Brain_weight,encephalization.index,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1988_Table1,snapshot 'EI'; based on the Tenrecinae reference line (slope 0.63; y-intercept 1.6128); see method note,
activity,activity pattern (ecoethological code 1): D diurnal / N nocturnal,,,info,Primates,Stephan_etal_1988_Table1,snapshot ecoethological column (1); given for primates only,
diet_category,"diet category (ecoethological code 2): 1 insectivores; 2 frugivores; 3 folivores; 3a generalist folivores; 3b nocturnal strict folivores; 3c diurnal strict folivores",,,info,Primates,Stephan_etal_1988_Table1,snapshot ecoethological column (2); primates only,
locomotion,"locomotor category (ecoethological code 3): AQP/NAQ/NSB/OAQ/OMB/OSB/OTB/OTQ/SBP/SCQ/VCL (see footnote key)",,,info,Primates,Stephan_etal_1988_Table1,snapshot ecoethological column (3); primates only; OCR '0MB' corrected to printed 'OMB',
ecoethology_refs,"reference numbers (ecoethological code 4) keyed to the footnote source list (1 Erikson 1963 ... 21 Walker 1979)",,,info,Primates,Stephan_etal_1988_Table1,snapshot ecoethological column (4); primates only,
source,source identifier,,Source,,both,"Insectivora, Scandentia & Primates",Stephan_etal_1988_Table1,,
Method:EI,encephalization index = observed BrW / expected BrW from the Tenrecinae reference line (log-log; slope 0.63; y-intercept 1.6128); points on the line have EI = 1.,Brain_weight,,method,,,Stephan_etal_1988_Table1,Stephan Baron & Frahm 1988 Table 1 footnote a,
