Species_group,Specimen ID,Age,Sex,Hemi cm3,Amygdaloid complex L,Amygdaloid complex R,Basolateral L,Basolateral R,Lateral L,Lateral R,Basal L,Basal R,Accessory basal L,Accessory basal R
Human,,,,,,,,,,,,,,
,SN207/84,75,M,1151,2.032,1.773,1.191,1.233,0.551,0.595,0.452,0.429,0.1879,0.2085
Chimpanzee,,,,,,,,,,,,,,
,Bathsheba,24,F,286,0.584,0.561,0.379,0.353,0.126,0.105,0.183,0.187,0.0701,0.0615
,Schimp,22,F,318,0.685,0.733,0.432,0.477,0.138,0.136,0.224,0.255,0.0701,0.0870
,YN89-278d,22,M,326,0.634,0.748,–,–,–,–,–,–,–,–
Bonobo,,,,,,,,,,,,,,
,Zahlia,11,F,248,0.623,0.660,0.417,0.445,0.124,0.137,0.223,0.236,0.0695,0.0721
,YN86-137,2,F,304,0.654,0.634,0.425,0.420,0.159,0.164,0.203,0.191,0.0623,0.0660
Gorilla,,,,,,,,,,,,,,
,YN82-140,20,F,300,0.651,0.655,0.442,0.423,0.100,0.100,0.247,0.238,0.0958,0.0855
Orangutan,,,,,,,,,,,,,,
,Harrye,37,M,351,0.688,0.660,0.447,0.422,0.121,0.127,–,–,–,–
,Briggsf,34,M,279,0.528,0.520,–,0.308,–,0.105,–,0.151,–,0.0516
,YN85-38,16,M,309,0.637,0.514,0.415,0.307,0.124,0.105,0.228,0.153,0.0622,0.0489
Gibbon,,,,,,,,,,,,,,
,Disco,22,F,93.2,0.270,0.367,0.169,0.179,0.060,0.054,0.086,0.086,0.0223,0.0387
,YN81-146,Adult,F,68.3,0.203,0.204,0.130,0.129,0.046,0.041,0.063,0.065,0.0206,0.0236
