Taxonomic_group,Species,nTFA,nPA,DTFA_mm2,DPA_mm2,ACA_mm2,ECV_cc,BM_g,BMR_kcal_day,Source
Hominoidea,Gorilla gorilla,8,3,65.85,26.77,92.61,455.89,71500,,1
Hominoidea,Homo sapiens,10,3,68.69,91.12,159.81,1422.33,65000,1557,13
Hominoidea,Hylobates lar,5,3,11,13.71,24.71,100.49,5381,,1
Hominoidea,Pan troglodytes,6,3,41.61,28.13,69.74,343.49,37133,1307,23
Hominoidea,Pongo pygmaeus,9,3,57.62,24.03,81.65,368,36948,1037,13
Cercopithecoidea,Macaca fascicularis,5,2,9.8,8.81,18.61,63.06,3884,251.9,12
Cercopithecoidea,Mandrillus leucophaeus,2,2,22.63,12.64,35.27,160,17500,,1
Cercopithecoidea,Miopithecus talapoin,7,3,7.09,3.62,10.71,39.08,1877,,1
Cercopithecoidea,Papio anubis,10,2,23.46,14.81,38.27,152.45,13300,435.4,12
Cercopithecoidea,Lophocebus albigena,7,2,13.54,8.87,22.41,97.99,7890,,1
Cercopithecoidea,Nasalis larvatus,6,1,15.56,8.8,24.36,83.84,9730,,1
Cercopithecoidea,Piliocolobus badius,5,2,10.32,13.57,23.88,64.49,7850,,1
Platyrrhini,Alouatta sp.,21,3,16.3,7.04,23.34,52.75,5753,231.9,14
Platyrrhini,Aotus trivirgatus,10,1,6.07,2.49,8.56,16.85,989,52.86,12
Platyrrhini,Ateles geoffroyi,4,3,17.13,13.68,30.81,106.59,7453,,1
Platyrrhini,Cacajao calvus,3,1,12.2,6.8,19,76,2935,,1
Platyrrhini,Callicebus moloch,7,2,5.15,2.75,7.9,17.78,1070,,1
Platyrrhini,Callithrix jacchus,7,3,3.2,1.14,4.34,7.43,318,22.8,14
Platyrrhini,Callithrix pygmaea,6,1,2.02,0.72,2.74,4.02,110,10.1,14
Platyrrhini,Cebus capucinus,7,2,8.94,6.03,14.98,67.02,2436,,1
Platyrrhini,Chiropotes satanas,3,3,8.2,7.76,15.96,48.33,2132,,2
Platyrrhini,Pithecia pithecia,3,1,5.69,3.15,8.85,32.26,1760,,1
Platyrrhini,Saimiri sciureus,9,2,6.08,2.86,8.94,24.6,799,68.51,12
Tarsiidae,Tarsius sp.,5,4,1.47,0.54,2.01,3.27,109,8.89,12
Lemuriformes (Cheirogaleidae),Cheirogaleus major,2,2,2.93,0.21,3.14,5.81,140,,1
Lemuriformes (Cheirogaleidae),Cheirogaleus medius,2,1,1.61,0.09,1.7,2.6,400,22.47,12
Lemuriformes (Cheirogaleidae),Microcebus murinus,5,2,0.73,0.04,0.78,1.63,65,,1
Lemuriformes (Cheirogaleidae),Mirza sp.,1,2,1.8,0.08,1.88,5.75,312,,1
Lemuriformes (non-Cheirogaleida,D. madagascariensis,3,3,11.17,0.77,11.94,45.31,2555,,1
Lemuriformes (non-Cheirogaleida,Archaeolemur majori,5,3,38.97,0.8,39.76,93,18200,,1
Lemuriformes (non-Cheirogaleida,Avahi laniger,5,2,5.81,0.17,5.99,9.86,1206,,1
Lemuriformes (non-Cheirogaleida,Babakotia radofilai,2,2,25.54,0.71,26.26,48,16000,,1
Lemuriformes (non-Cheirogaleida,Hapalemur griseus,6,2,7.06,0.15,7.20,14.04,689.50,,1
Lemuriformes (non-Cheirogaleida,Indri indri,2,2,16.5,0.48,16.98,35.9,6335,,1
Lemuriformes (non-Cheirogaleida,Propithecus verreauxi,4,2,11.88,0.26,12.14,30.06,2955,86.8,14
Lemuriformes (non-Cheirogaleida,Eulemur fulvus ssp.,7,3,9.36,0.22,9.58,23.06,2210,42,14
Lemuriformes (non-Cheirogaleida,Lemur catta,8,3,10.68,0.27,10.94,22.9,2210,45.1,14
Lemuriformes (non-Cheirogaleida,Prolemur simus,3,1,10.65,0.24,10.89,27.14,2150,,1
Lemuriformes (non-Cheirogaleida,Varecia sp.,3,3,11.53,0.34,11.87,32.15,3497,69.9,14
Lemuriformes (non-Cheirogaleida,Lepilemur sp.,4,3,4.52,0.11,4.63,8.21,691,27.6,14
Lorisiformes,Galago senegalensis,9,3,1.76,0.05,1.82,3.97,196,,1
Lorisiformes,Otolemur crassicaudatus,8,2,3.58,0.25,3.82,12.25,1170,47.3,12
Lorisiformes,Loris tardigradus,3,2,1.88,0.11,2,5.87,193,13.65,12
Lorisiformes,Nycticebus coucang,8,2,5.39,0.19,5.58,11.01,679,35.95,12
Lorisiformes,Perodicticus potto,8,2,5.78,0.15,5.93,12.81,802,59.05,12
Non-primates (Dermoptera),Cynocephalus volans,1,3,4.02,0.24,4.27,5.78,810,,1
Non-primates (Dermoptera),Galeopterus variegatus,4,2,2.88,0.20,3.07,6.78,1330,,1
Non-primates (Scandentia),Ptilocercus lowii,1,3,1.08,0.21,1.3,1.67,43,4.99,12
Non-primates (Scandentia),Tupaia glis,9,3,1.15,0.38,1.54,3,142,10.78,12
