"Figure 3. Comparisons of the relative volumes of the parcellated brain regions among NT (Neanderthal), EH (early Homo sapiens) and MH (modern Homo sapiens). (a) Each parcellated volume was normalized to the mean MH volume to calculate a ratio (relative volume). Differences evaluated by ANOVA across 13 parcellated regions after removing effects of ICV; Bonferroni threshold p < 0.003 (=0.05/13). The mean (+/- s.d.) MH volumes of the parcellated brain regions are transcribed below (cc). Significant relative-volume differences (ANOVA, df = 2,1190) were found in Pa SI, Oc SM, Ce V and Ce P. Abbreviations: Fr, frontal lobe; Pa, parietal lobe; Te, temporal lobe; Oc, occipital lobe; Ce, cerebellum; Sm, sensorimotor cortex; SM, superior and middle region; I, inferior region; O, orbitofrontal region; SI, superior and inferior region; TP, temporo-parietal junction; A, anterior region; P, posterior region; V, vermis.",,,,
Region,MH_mean_cc,MH_sd_cc,ANOVA_F,ANOVA_p
Fr SM,161.61,5.22,,
Fr I,41.57,1.00,,
Fr O,65.46,3.45,,
Sm,96.93,2.82,,
Pa SI,88.30,1.98,9.31,0.0001
Pa TP,37.38,1.41,,
Te SM,91.27,3.92,,
Te I,82.50,2.60,,
Oc SM,93.70,4.17,8.15,0.0003
Oc I,39.99,1.32,,
Ce V,12.38,0.23,7.34,0.0007
Ce A,13.86,0.21,,
Ce P,114.41,3.76,6.70,0.0013
