Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Region,Neocortical region (Frontal/Temporal/Parietal/Occipital/Neocortex total),see Region,,group,info,Homo sapiens,Karlsen_Pakkenberg_2011,,
Group,Control or DS (Down syndrome),see Region,,group,info,Homo sapiens,Karlsen_Pakkenberg_2011,Study 1a uses Control,
n_brains,Number of brains in the group mean,see Region,,count,info,Homo sapiens,Karlsen_Pakkenberg_2011,Control 6; DS 4,
Neuron_N.x10.9,Total neuron number (bilateral) - group mean,see Region,count.x10^9,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,From author data (personal communication),
Neuron_density.x10.6.per.cm3,Neuron numerical density - group mean,see Region,density.x10^6.per.cm3,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,Reproduces published values,
Glia_N.x10.9,Total glia number (bilateral) - group mean,see Region,count.x10^9,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Glia_density.x10.6.per.cm3,Total glial density - group mean,see Region,density.x10^6.per.cm3,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Astrocyte_N.x10.9,Astrocyte number (bilateral) - group mean,see Region,count.x10^9,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,Not tabulated in the paper,
Astrocyte_density.x10.6.per.cm3,Astrocyte density - group mean,see Region,density.x10^6.per.cm3,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,Author value correct; published temporal 46.7 is an erroneous 2x,
Oligodendrocyte_N.x10.9,Oligodendrocyte number (bilateral) - group mean,see Region,count.x10^9,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Oligodendrocyte_density.x10.6.per.cm3,Oligodendrocyte density - group mean,see Region,density.x10^6.per.cm3,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Microglia_N.x10.9,Microglia number (bilateral) - group mean,see Region,count.x10^9,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Microglia_density.x10.6.per.cm3,Microglia density - group mean,see Region,density.x10^6.per.cm3,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Glia_Neuron_ratio,Glia-to-neuron ratio - group mean,see Region,ratio,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,,
Volume.cm3,Mean bilateral volume (shrinkage-corrected),see Region,Vol.cm3,group mean,primary,Homo sapiens,Karlsen_Pakkenberg_2011,Published Table 2,
Surface.cm2,Mean cortical surface area,see Region,area.cm2,group mean,secondary,Homo sapiens,Karlsen_Pakkenberg_2011,Published Table 2,
Thickness.mm,Mean cortical thickness,see Region,length.mm,group mean,secondary,Homo sapiens,Karlsen_Pakkenberg_2011,Published Table 2,
Value,Reported value (basal ganglia + cortical) as stated in the paper text,Basal ganglia / neocortex,various,group,primary,Homo sapiens,Karlsen_Pakkenberg_2011,In reported_values_derived (long: Region/Group/Measure/Value/Unit),Results text
