Species_common,Species,species_confidence,note
Vervet monkey,Chlorocebus pygerythrus,medium,aethiops species-group; 'vervet' = C. pygerythrus by convention
Mongoose lemur,Eulemur mongoz,high,
Gray mouse lemur,Microcebus murinus,high,
Spider monkey,Ateles geoffroyi,review,"genus Ateles; species not stated - geoffroyi assumed, VERIFY"
Yellow baboon,Papio cynocephalus,high,
Patas monkey,Erythrocebus patas,high,
Black lemur,Eulemur macaco,high,
Barbary macaque,Macaca sylvanus,high,
Senegal galago,Galago senegalensis,high,
Green monkey,Chlorocebus sabaeus,medium,aethiops species-group; 'green monkey' = C. sabaeus by convention
Brown lemur,Eulemur fulvus,review,"E. fulvus complex (fulvus/rufus/…); fulvus s.l. assumed, VERIFY"
Guinea baboon,Papio papio,high,
Three-striped night monkey,Aotus trivirgatus,high,
Long-tailed macaque,Macaca fascicularis,high,
Pigtail macaque,Macaca nemestrina,high,
Bornean orangutan,Pongo pygmaeus,high,
Hamadryas baboon,Papio hamadryas,high,
Olive baboon,Papio anubis,high,
Bonnet macaque,Macaca radiata,high,
Common marmoset,Callithrix jacchus,high,
Stump-tailed macaque,Macaca arctoides,high,
Common squirrel monkey,Saimiri sciureus,high,
Chimpanzee,Pan troglodytes,high,
Rhesus monkey,Macaca mulatta,high,
Human,Homo sapiens,high,
