Species,Variable,flag,detail
Alouatta caraya,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
