Original_Term,Reference,Standardized_Term
Species,Ashwell__2020_SupplementaryTable,Species
brain_volume_mm3,Ashwell__2020_SupplementaryTable,Total_brain_net_volume_Vol.mm3
total_cb_volume_mm3,Ashwell__2020_SupplementaryTable,Cerebellum_Vol.mm3
vermis_excl_cb10_mm3,Ashwell__2020_SupplementaryTable,CerebellarVermis_Vol.mm3
hemisphere_excl_fl_mm3,Ashwell__2020_SupplementaryTable,CerebellarHemisphere_Vol.mm3
flocculo_nodular_cb_cx_mm3,Ashwell__2020_SupplementaryTable,FlocculonodularLobe_Vol.mm3
total_cb_cx_volume_mm3,Ashwell__2020_SupplementaryTable,CerebellarCortex_Vol.mm3
cb_white_matter_mm3,Ashwell__2020_SupplementaryTable,Cerebellum_white_matter_Vol.mm3
pn_rttg_volume_mm3,Ashwell__2020_SupplementaryTable,Pontine_and_reticulotegmental_nuclei_Vol.mm3
deep_cb_nu_volume_mm3,Ashwell__2020_SupplementaryTable,Cerebellar_nuclei_total_Vol.mm3
Species,Barger_etal_2007_TABLE1,Species
amygdaloid_complex_total,Barger_etal_2007_TABLE1,Amygdala_Vol.mm3
basolateral_total,Barger_etal_2007_TABLE1,Amygdala_basolateral_division_Vol.mm3
lateral_total,Barger_etal_2007_TABLE1,Amygdala_lateral_nucleus_Vol.mm3
basal_total,Barger_etal_2007_TABLE1,Amygdala_basal_nucleus_Vol.mm3
accessory_basal_total,Barger_etal_2007_TABLE1,Amygdala_accessory_basal_nucleus_Vol.mm3
hemispheres_cm3,Barger_etal_2007_TABLE1,Cerebral_hemispheres_Vol.mm3
Species,Barger_etal_2014_Table1,Species
amygdala_total_cc,Barger_etal_2014_Table1,Amygdala_Vol.mm3
amygdala_lateral_cc,Barger_etal_2014_Table1,Amygdala_lateral_nucleus_Vol.mm3
amygdala_basal_cc,Barger_etal_2014_Table1,Amygdala_basal_nucleus_Vol.mm3
amygdala_accessory_basal_cc,Barger_etal_2014_Table1,Amygdala_accessory_basal_nucleus_Vol.mm3
amygdala_central_cc,Barger_etal_2014_Table1,Amygdala_central_nucleus_Vol.mm3
hippocampus_cc,Barger_etal_2014_Table1,Hippocampus_Vol.mm3
striatum_cc,Barger_etal_2014_Table1,Striatum_Vol.mm3
Species,Barks_etal_2014_Fig4A,Species
Cerebellum_mm3,Barks_etal_2014_Fig4A,Cerebellum_Vol.mm3
Neocortex_GMWM_mm3,Barks_etal_2014_Fig4A,Neocortex_Vol.mm3
Neocortex_GM_mm3,Barks_etal_2014_Fig4A,Neocortex_grey_matter_Vol.mm3
Striatum_mm3,Barks_etal_2014_Fig4A,Striatum_Vol.mm3
Hippocampus_mm3,Barks_etal_2014_Fig4A,Hippocampus_Vol.mm3
Amygdala_mm3,Barks_etal_2014_Fig4A,Amygdala_Vol.mm3
Insula_mm3,Barks_etal_2014_Fig4A,Insula_Vol.mm3
Thalamus_mm3,Barks_etal_2014_Fig4A,Thalamus_Vol.mm3
Species,Barks_etal_2014_TABLE1,Species
Brain volume (cm3),Barks_etal_2014_TABLE1,Total_brain_net_volume_Vol.mm3
species,Barks_etal_2014_unpublishedviaDeCasien,Species
brain_volume_mm3,Barks_etal_2014_unpublishedviaDeCasien,Total_brain_net_volume_Vol.mm3
neocortex_GMWM_mm3,Barks_etal_2014_unpublishedviaDeCasien,Neocortex_Vol.mm3
neocortex_GM_mm3,Barks_etal_2014_unpublishedviaDeCasien,Neocortex_grey_matter_Vol.mm3
cerebellum_mm3,Barks_etal_2014_unpublishedviaDeCasien,Cerebellum_Vol.mm3
striatum_mm3,Barks_etal_2014_unpublishedviaDeCasien,Striatum_Vol.mm3
hippocampus_mm3,Barks_etal_2014_unpublishedviaDeCasien,Hippocampus_Vol.mm3
