Common Name,Latin Name,"Citation[Acuity, eye size]",Method
wedge-tailed eagle,Aquila audax,"[1,2]",Behavior
human,Homo sapiens,"[3,4]",Peak RGC
rhesus macaque,Macaca mulatta,"[5,6]",Behavior
common octopus,Octopus vulgaris,"[7,8]",Peak retinal cell density
giraffe,Giraffa camelopardalis,"[9,10]",Peak RGC
cheetah,Acinonyx jubatus,"[6,11,12]",Peak RGC
Common ostrich,Struthio camelus,[13],Peak RGC
African elephant,Loxodonta africana,"[6,14]",Peak RGC
little penguin,Eudyptula minor,[15],Peak RGC
fringed jumping spider,Portia fimbriata,[16],Interommatidial angle
dromedary camel,Camelus dromedarius,[17],Peak RGC
saltwater crocodile,Crocodylus porosus,[18],Peak RGC
Atlantic blue marlin,Makaira nigricans,[19],Peak RGC
Eurasian lynx,Lynx lynx,"[20,21]",VEP
goldfish,Carassius auratus,"[22,23]",Behavior
Domestic chicken,Gallus gallus,[24],Behavior
great hammerhead shark,Sphyrna mokarran,[25],Peak RGC
red-eared slider (turtle),Pseudemys scripta elegans,[26],VEP
rufous-tailed hummingbird,Amazilia tzacatl,[27],Peak RGC
Carolina chickadee,Parus carolinensis,[28],Peak RGC
bluespotted stingray,Neotrygon kuhlii,[29],Peak RGC
koala,Phascolarctos cinereus,[30–32],Peak RGC
California ground squirrel,Spermophilus beecheyi,"[32,33]",Behavior
walrus,Odobenus rosmarus,"[21,34]",Peak RGC
common barn owl,Tyto alba,[35],Peak RGC
northern leopard frog,Rana pipiens,[36],Behavior
brown hawker dragonfly,Aeshna grandis,"[8,37]",Interommatidial angle
American cockroach,Periplaneta americana,[38],VEP
two toed sloth,Choloepus didactylus,"[6,39]",Peak RGC
blue morpho butterfly,Morpho peleides,[40],Interommatidial angle
hooded rat,Rattus norvegicus,"[21,41]",Behavior
giant owl butterfly,Caligo memnon,[40],Interommatidial angle
honeybee (worker),Apis mellifera,"[42,43]",Interommatidial angle
naked mole rat,Heterocephalus glaber,"[32,44]",Peak RGC
great scallop,Pecten maximus,"[45,46]",Behavior
Jamaican fruit bat,Artibeus jamaicensis,"[32,47]",Behavior
scarlet skunk cleaner shrimp,Lysmata amboinensis,[48],Behavior
fruit fly,Drosophila melanogaster,"[42,49]",Interommatidial angle
Mangrove mud-nesting ant,Polyrhachis sokolova,"[50,51]",Interommatidial angle
Dust lice (Psocoptera),Psyllipsocus ramburi,[52],Acceptance angle
