Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_Zilles1988,species as named in Zilles & Rehkamper 1988 (the orang-utan; the only species in this table),,,info,,,Zilles__Rehkamper_1988_Table12-2,"single-specimen table: brain structures down the rows, Pongo sp. the only species; taxonomy applied later via ../_keys/Stephan/",
structure,brain component as printed in Table 12-2 (indentation in the snapshot marks the printed sub-components),,,info,,,Zilles__Rehkamper_1988_Table12-2,squished to a clean label by the R script,
fresh_volume_cc3,fresh volume of the structure as printed (cc3 = cm3),,,info,,,Zilles__Rehkamper_1988_Table12-2,"original printed unit; converted to mm3 (x1000) in volume_mm3",
volume_mm3,fresh volume converted to the project unit mm3 (= fresh_volume_cc3 x 1000),,,info,,,Zilles__Rehkamper_1988_Table12-2,one value per structure; the per-structure rows below carry the Measure tag,
pct_total_brain,structure volume as a percentage of total brain volume (excluding ventricles and nerves),,,,secondary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,printed in Table 12-2 col 2; relative measure (recomputable from volumes); not the focus of pooling,
Medulla_oblongata,medulla oblongata fresh volume,Medulla_oblongata,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 1,
Cerebellum_without_pons,cerebellum (measured without the pons) fresh volume,Cerebellum,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 2 (pons separated; see Pons),
Pons,pons fresh volume,Pons,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 3,
Mesencephalon,mesencephalon (incl. tectum + ventral tegmentum) fresh volume,Mesencephalon,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 4,
Diencephalon,diencephalon fresh volume,Diencephalon,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 5,
Telencephalon,telencephalon fresh volume (sum of its components below),Telencephalon,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 6,
Neocortex,neocortex fresh volume (gray without area striata + gray area striata + white matter),Neocortex,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure 7,
Neocortex_grey_without_area_striata,neocortical gray matter excluding the gray of area striata,Neocortex_grey_matter,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,"Table 12-2, indented under Neocortex",
Area_striata_grey,gray matter of area striata (primary visual cortex),Area_striata_grey_matter,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,"Table 12-2, indented under Neocortex",
Neocortex_white_matter,neocortical white matter fresh volume,Neocortex_white_matter,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,"Table 12-2, indented under Neocortex",
Hippocampus,hippocampus fresh volume,Hippocampus,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure,
Regio_entorhinalis,entorhinal region fresh volume,EntorhinalCortex,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure (regio entorhinalis),
Paleocortex,paleocortex fresh volume (regio praepiriformis + corpus amygdaloideum here),Palaeocortex,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure,
Regio_praepiriformis,regio praepiriformis (prepiriform cortex) fresh volume,Prepiriform_cortex,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,"Table 12-2, indented under Paleocortex",
Corpus_amygdaloideum,corpus amygdaloideum (amygdala) fresh volume,Amygdala,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,"Table 12-2, indented under Paleocortex",
Septum,septum fresh volume,Septum,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure,
Corpus_striatum,corpus striatum (nucleus caudatus + putamen) fresh volume,Striatum,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,Table 12-2 structure,
Globus_pallidus,globus pallidus (pallidum) fresh volume,Pallidum,Vol.mm3,,primary,Primates (Pongo),Zilles__Rehkamper_1988_Table12-2,"Table 12-2, indented under Corpus striatum",
Method:units,"fresh volumes printed in cc3 (= cm3); converted to mm3 by x1000. Percentages are of total brain volume excluding ventricles and nerves. Pongo body weight 54,000 g and fresh brain weight 333 g are given in the chapter text (Table 12-1), not in Table 12-2.",,,method,,,Zilles__Rehkamper_1988_Table12-2,"Indices of brain-structure size (encephalization) are in Table 12-3, not snapshotted here (derived; recompute downstream).",
