"Structure","Mass, g","Neurons","Non-neuronal cells","Neurons/mg","Non-neuronal cells/mg","Non-neuronal cells/neuron"
"Whole brain","2,683.9","57,472,789,206","173,396,134,794","21,414","64,505","3.0"
"Cerebral cortex (including Hp + amygdala)","2,052.2","3,166,399,674","133,472,299,326","1,543","65,038","42.2"
"Cerebral cortical grey matter","1,136.5","2,690,224,290","47,471,362,210","2,367","41,768","17.6"
"Cerebral cortical white matter","900.5","458,756,249","85,379,606,251","509","94,816","186.1"
"Cerebellum","415.9","54,216,171,588","22,313,190,913","130,353","53,648","0.4"
"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)","215.8","88,149,444","17,317,213,056","409","80,256","196.4"
"Amygdala","7.5","4,137,000","586,863,000","551","78,144","141.9"
"Hippocampus","7.7","13,282,136","625,467,864","1 725","81,208","47.1"
"Diencephalon + Striatum","123.3","70,703,706","11,085,646,296","573","89,908","156.9"
"Mesencephalon","29.7","5,413,766","2,305,861,236","182","77,638","426.6"
"Pons","33.7","6,321,406","2,096,603,596","188","62,214","330.9"
"Medulla oblongata","29.1","5,710,568","1,829,101,932","196","62,856","320.7"
