Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Brain,Whole brain; appx. sum of 14 structures incl Olfactory bulbs,WholeBrainOlfactoryBulb,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_Fig3,see fig for plot Brain volume (mm3),"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
Body,,Body,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
Mass.g,mass in grams ,,Mass.g,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
mass,mass (g),,Mass.g,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_FigS1,body mass units in FigS1,"[brain and body mass] Data for mole-rats are from our dataset, other data on body mass and brain mass for rodents (n = 414) were collated from the literature "
Olfactory bulbs,,OlfactoryBulb,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Olfactory cortices,,OlfactoryCortices,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Neocortex,,Neocortex,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Entorhinal cortex,,EntorhinalCortex,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Hippocampus,,Hippocampus,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Amygdala,,Amygdala,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Striatum,,Striatum,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Septum,,Septum,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Thalamus,,Thalamus,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Hypothalamus,,Hypothalamus,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Cerebellum,,Cerebellum,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Tectum,,Tectum,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Tegmentum,,Tegmentum,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Medulla oblongata,,Medulla,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
p.C.Brain,average structure volume fractions (expressed as percentage of the whole brain volume) ,,p.C.Brain,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Vol.mm3,absolute structure volumes in mm3 ,,Vol.mm3,,primary,Rodents (African mole-rats +),Kverkova_etal_2018_TableS1,,
Whole brain,Whole brain; appx. sum of 14 structures incl Olfactory bulbs,WholeBrainOlfactoryBulb,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
Olfactory bulbs,,OlfactoryBulb,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
Cortex,"cerebral cortex (including the underlying white matter and comprising the neocortex, hippocampus, olfactory cortices such as piriform and entorhinal cortex, and pallial amygdala)",CerebralCortex,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
Subcortical forebrain,"subcortical forebrain (comprising the diencephalon, caudate putamen, nucleus accumbens, globus pallidus, ventral pallidum, olfactory tubercle and septum)",SubcorticalForebrain,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
Cerebellum,,Cerebellum,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
Brain stem,brain stem (comprising the mesencephalon and medulla oblongata),MesencephalonMedulla,,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
N.n,number of neurons,,N.n,,primary,Rodents (African mole-rats +),Kverkova_etal_2018,,
SD,standard deviation,,,SD,,,Kverkova_etal_2018,,
Origin.of.Animals_Colony_Duisburg.Essen,,,,info,,,Kverkova_etal_2018_Table1,,
Origin.of.Animals_Colony_České.Budějovice,,,,info,,,Kverkova_etal_2018_Table1,,
Origin.of.Animals_Colony_Cape.Town,,,,info,,,Kverkova_etal_2018_Table1,,
Origin.of.Animals_Wild.caught,,,,info,,,Kverkova_etal_2018_Table1,,
Experimental.Use_Volumetry,absolute structure volumes in mm3 ,WholeBrainOlfactoryBulb,,n,primary,Rodents (African mole-rats +),Kverkova_etal_2018_Table1,,
Experimental.Use_Isotropic.fractionator,number of neurons,WholeBrainOlfactoryBulb,,n,primary,Rodents (African mole-rats +),Kverkova_etal_2018_Table1,,
Experimental.Use_Brain.body.relationship,,Body,,n,primary,Rodents (African mole-rats +),Kverkova_etal_2018_Table1,,
