"species","species_as_published","suborder","superfamily","family","spindle_cells","spindle_cells_present","n_specimens","source"
"Eulemur fulvus","Eulemur fulvus","Prosimii","Lemuroidea","Lemuridae","None",FALSE,1,"Nimchinsky_etal_1999"
"Lemur catta","Lemur catta","Prosimii","Lemuroidea","Lemuridae","None",FALSE,1,"Nimchinsky_etal_1999"
"Propithecus verreauxi","Propithecus verreauxi","Prosimii","Lemuroidea","Indridae","None",FALSE,1,"Nimchinsky_etal_1999"
"Cheirogaleus medius","Cheirogaleus medius","Prosimii","Lemuroidea","Cheirogaleidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Microcebus murinus","Microcebus murinus","Prosimii","Lemuroidea","Cheirogaleidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Galago senegalensis","Galago senegalensis","Prosimii","Loroidea","Galagonidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Galagoides demidoff","Galagoides demidoff","Prosimii","Loroidea","Galagonidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Loris tardigradus","Loris tardigradus","Prosimii","Loroidea","Lorisidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Nycticebus coucang","Nycticebus coucang","Prosimii","Loroidea","Lorisidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Perodicticus potto","Perodicticus potto","Prosimii","Loroidea","Lorisidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Tarsius syrichta","Tarsius syrichta","Prosimii","Tarsioidea","Tarsiidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Callithrix jacchus","Callithrix jacchus","Anthropoidea","Ceboidea","Callithricidae","None",FALSE,2,"Nimchinsky_etal_1999"
"Aotus trivirgatus","Aotus trivirgatus","Anthropoidea","Ceboidea","Cebidae","None",FALSE,2,"Nimchinsky_etal_1999"
"Cebus apella","Cebus apella","Anthropoidea","Ceboidea","Cebidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Saimiri sciureus","Saimiri sciureus","Anthropoidea","Ceboidea","Cebidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Macaca fascicularis","Macaca fascicularis","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,8,"Nimchinsky_etal_1999"
"Macaca fuscata","Macaca fuscata","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Macaca mulatta","Macaca mulatta","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Macaca nemestrina","Macaca nemestrina","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Macaca nigra","Macaca nigra","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Erythrocebus patas","Erythrocebus patas","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Papio hamadryas","Papio hamadryas cynocephalus","Anthropoidea","Cercopithecoidea","Cercopithecidae","None",FALSE,1,"Nimchinsky_etal_1999"
"Hylobates lar","Hylobates lar","Anthropoidea","Hominoidea","Hylobatidae","None",FALSE,4,"Nimchinsky_etal_1999"
"Pongo pygmaeus","Pongo pygmaeus","Anthropoidea","Hominoidea","Pongidae","Rare",TRUE,1,"Nimchinsky_etal_1999"
"Gorilla gorilla","Gorilla gorilla gorilla","Anthropoidea","Hominoidea","Hominidae","Frequent",TRUE,5,"Nimchinsky_etal_1999"
"Pan troglodytes","Pan troglodytes","Anthropoidea","Hominoidea","Hominidae","Abundant",TRUE,8,"Nimchinsky_etal_1999"
"Pan paniscus","Pan paniscus","Anthropoidea","Hominoidea","Hominidae","Abundant/clusters",TRUE,1,"Nimchinsky_etal_1999"
"Homo sapiens","Homo sapiens","Anthropoidea","Hominoidea","Hominidae","Abundant/clusters",TRUE,6,"Nimchinsky_etal_1999"
