canonical_specimen,record_type,specimen_name,primary_identifier,alternate_identifiers,collection,source_publication,item_reference,printed_name,published_taxon,resolved_taxon,taxon_concept,taxon_conflict,match,sex,note
PONGO-HARRY,specimen,Harry,OY 1148,HARRY 2/97; OY 1148; catalog CAT-148,Zilles (ex Yerkes),specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,matched,M,"Catalog house name 'Harry', Zilles coll., source Yerkes. Same individual as MacLeod HARRY (2/97)/OY 1148."
PONGO-HARRY,specimen,Harry,OY 1148,HARRY 2/97; OY 1148,Zilles/Semendeferi (ex Yerkes),MacLeod_2000,MacLeod_2000_APPENDIXI,PONGO PYGMAEUS; ZILLES(SEMEND.); HARRY (2/97),Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,matched,M,"MacLeod 2000 Appendix I: brain 440 g, fixed vol 186.11 cc. No modern Bornean/Sumatran assignment on record."
PONGO-BRIGGS,specimen,Briggs,6728,BR. 5/97; OHDZ; 6728; catalog CAT-147,Zilles (ex Yerkes),specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,matched,M,"Catalog house name 'Briggs', Zilles coll., source Yerkes. Same individual as MacLeod BRIGGS (5/97)/OHDZ/6728."
PONGO-BRIGGS,specimen,Briggs,6728,BR. 5/97; OHDZ; 6728,Zilles/Semendeferi (ex Yerkes),MacLeod_2000,MacLeod_2000_APPENDIXI,PONGO PYGMAEUS; ZILLES(SEMEND.); BRIGGS (5/97),Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,matched,M,"MacLeod 2000 Appendix I: brain 345 g, fixed vol 154.89 cc."
PONGO-0475,specimen,,0475,0475; A79,Zilles,MacLeod_2000,MacLeod_2000_APPENDIXI,PONGO (ZILLES)+A79,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,MacLeod-only,F,MacLeod 2000 Appendix I: fixed vol 107.6 cc. Not obviously matched to a catalog house name.
PONGO-YN85-38,specimen,,YN85-38,YN85-38,Zilles/Semendeferi (ex Yerkes; Kanting),MacLeod_2000,MacLeod_2000_APPENDIXI,PONGO PYGMAEUS; ABELII; ZILLES (SEMEND.),Pongo pygmaeus,Pongo abelii,Pongo pygmaeus (s.l.),TRUE,MacLeod-only,M,"THE pygmaeus->abelii case: printed carries both 'PONGO PYGMAEUS' and 'ABELII'. Resolved to Pongo abelii (Sumatran). brain 369 g, fixed vol 216.3 cc. Candidate match to catalog CAT-150 (M, subspecies 'Pongo pygmaeus abeli', Yerkes) - unconfirmed."
CAT-149,specimen,,CAT-149,0475,Zilles,specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,catalog-only,F,Catalog row CAT-149. No subspecies/other-sp. detail; unresolved between Bornean and Sumatran.
CAT-150,specimen,,CAT-150,8538,Zilles,specimens_info_151211,catalog,Pongo pygmaeus / Pongo pygmaeus abeli,Pongo pygmaeus,Pongo abelii,Pongo pygmaeus (s.l.),TRUE,catalog-only,M,"Catalog row CAT-150. Subspecies field records 'Pongo pygmaeus abeli' -> Sumatran = modern Pongo abelii, hidden inside the flat 'Pongo pygmaeus' species label. taxon_conflict flagged. Candidate match to MacLeod YN85-38 (M, ABELII, Yerkes) - unconfirmed."
CAT-151,specimen,,CAT-151,0459,Zilles,specimens_info_151211,catalog,Pongo pygmaeus / sumatra,Pongo pygmaeus,Pongo abelii,Pongo pygmaeus (s.l.),TRUE,catalog-only,F,"Catalog row CAT-151. Subspecies field records 'sumatra' -> Sumatran = modern Pongo abelii, hidden inside the flat 'Pongo pygmaeus' species label. taxon_conflict flagged."
CAT-152,specimen,,CAT-152,I,unknown,specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,catalog-only,,Catalog row CAT-152. No subspecies/other-sp. detail; unresolved between Bornean and Sumatran.
CAT-153,specimen,,CAT-153,II,unknown,specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,catalog-only,,Catalog row CAT-153. No subspecies/other-sp. detail; unresolved between Bornean and Sumatran.
CAT-174,specimen,,CAT-174,100344,GWU,specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,catalog-only,M,Catalog row CAT-174. No subspecies/other-sp. detail; unresolved between Bornean and Sumatran.
CAT-180,specimen,PP?,CAT-180,,Mount Sinai,specimens_info_151211,catalog,Pongo pygmaeus,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,catalog-only,,Catalog row CAT-180. No subspecies/other-sp. detail; unresolved between Bornean and Sumatran.
