Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Code_number_Stephan1981,species code (taxonomic order) in the Stephan/Frahm/Baron system,,,info,,,Stephan_etal_1981_Table1,,
Species,"species name as printed in Stephan, Frahm & Baron 1981",,,info,,,Stephan_etal_1981_Table1,,
Body_weight,body weight,Body_weight,Mass.g,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 1,
Brain_weight,fresh brain weight,Brain_weight,Mass.mg,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 2,
Ventricles,ventricular system,Ventricles,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 3,
Meninges_hypophysis_nerves_etc,"meninges, hypophysis, nerves etc.",Meninges_hypophysis_nerves_etc,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 4,
Total_brain_net_volume,net brain volume (= codes 6-10),Total_brain_net_volume,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 5,
Medulla_oblongata,medulla oblongata,Medulla_oblongata,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 6,
Cerebellum,cerebellum (incl. brachia & nuclei pontis),Cerebellum,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 7,
Mesencephalon,mesencephalon (without substantia reticularis),Mesencephalon,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 8,
Diencephalon,diencephalon,Diencephalon,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 9,
Telencephalon,telencephalon,Telencephalon,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 10,
Bulbus_olfactorius,main olfactory bulb,Bulbus_olfactorius,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 11,
Bulbus_olfactorius_accessorius,accessory olfactory bulb,Bulbus_olfactorius_accessorius,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 12,
Lobus_piriformis,piriform lobe,Lobus_piriformis,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 13,
Septum,septum,Septum,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 14,
Striatum,striatum,Striatum,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 15,
Schizo_cortex,schizocortex,Schizo_cortex,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 16,
Hippocampus,hippocampus,Hippocampus,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_Table1,Stephan code 17,
