Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species binomial,,Species,,primary,Primates,Collins_etal_2016_Table1,single chimpanzee,
common_name,common name,,,,info,Primates,Collins_etal_2016_Table1,,
specimen,specimen description,,,,info,Primates,Collins_etal_2016_Table1,female 53y Texas Biomedical Research Institute,
structure,cortical region the row describes,,,,info,Primates,Collins_etal_2016_Table1,cerebral cortex (whole) / V1 / V2 / somatosensory block / M1 / premotor block / prefrontal cortex,
hemisphere,hemisphere measured,,,,info,Primates,Collins_etal_2016_Table1,right (flattened) except one V1 left (serial sections),
method,measurement method,,,,info,Primates,Collins_etal_2016_Table1,flattened isotropic/flow fractionator; serial sections for V1 left,
note,note as printed,,,,info,Primates,Collins_etal_2016_Table1,,
brain_mass_g,whole brain mass,WholeBrain,Mass.g,,info,Primates,Collins_etal_2016_Table1,344 g (constant),
body_weight_kg,body weight,,Mass.kg,,info,Primates,Collins_etal_2016_Table1,34.8 kg,
volume_cm3,structure volume,,Volume.cm3,,secondary,Primates,Collins_etal_2016_Table1,V1 only,
area_cm2,cortical surface area of the region,Neocortex,Area.cm2,,primary,Primates,Collins_etal_2016_Table1,whole cortex = 341 cm2; x100 for mm2,
pct_neocortical_area,region as percent of total neocortical area,,pct,,secondary,Primates,Collins_etal_2016_Table1,,
n_cells,total number of cells in the region,Neocortex,count,,primary,Primates,Collins_etal_2016_Table1,converted from printed billions/millions,
n_neurons,total number of neurons (NeuN+) in the region,Neocortex,count,,primary,Primates,Collins_etal_2016_Table1,whole cortex = 3.71 billion,
pct_neurons,fraction of cells that are neurons,Neocortex,pct,,primary,Primates,Collins_etal_2016_Table1,stored as fraction (0.39 = 39%),
cells_per_cm2,cell density per cm2 surface,Neocortex,Density.per_cm2,,primary,Primates,Collins_etal_2016_Table1,millions,
cells_per_g,cell density per g tissue,Neocortex,Density.per_g,,primary,Primates,Collins_etal_2016_Table1,millions,
neurons_per_cm2,neuron density per cm2 surface,Neocortex,Density.per_cm2,,primary,Primates,Collins_etal_2016_Table1,millions,
neurons_per_g,neuron density per g tissue,Neocortex,Density.per_g,,primary,Primates,Collins_etal_2016_Table1,millions,
specimen_overlap,specimen relationship to other tables,,,,info,Primates,Collins_etal_2016_Table1,likely same Texas Biomedical chimp as Young_etal_2013 (M1),
source,source identifier,,Source,,info,Primates,Collins_etal_2016_Table1,,
