Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,accepted scientific binomial (journal-printed name preserved; harmonised via _keys/Stephan/species_key.csv token Seymour2015),,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,spaced binomial as printed in Table S1,
Common_name,vernacular name as printed in Table S1,,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,,
Family,taxonomic family as printed,,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,,
Clade,higher group carried from the section headers (Primates / Diprotodontia),,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,section marker rows in the snapshot,
Suborder,primate suborder / marsupial order (Haplorrhini / Strepsirrhini / Diprotodontia),,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,section marker rows in the snapshot,
N_individuals,number of individuals contributing to the species mean,Whole Brain,,n,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,Table S1 "Number",
Body_mass_g,body mass in grams,,Mass.g,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,Table S1 Mb; project unit g (source already g); float noise stripped to 6 sig figs,
Body_mass_ref,body-mass source (footnote number 1-12),,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,see Seymour_etal_2015_TableS1_references.csv,
Body_mass_ref_short,short citation for the body-mass source,,,,info,Primates & Diprotodontia,Seymour_etal_2015_TableS1,,
Brain_volume_ml,brain (endocranial) volume in millilitres,Whole Brain,Vol.ml,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,Table S1 Vbr; float noise stripped to 6 sig figs; brain mass g = Vbr x 1.036 (density) if needed downstream,
Foramen_radius_cm,internal carotid foramen radius (rICF) in cm,Internal carotid foramen,radius.cm,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,full precision,
Lumen_radius_cm,internal carotid artery lumen radius (rICA) in cm,Internal carotid artery,radius.cm,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,full precision,
Shear_stress_dyne_cm2,wall shear stress (tau) in dyne cm-2,Internal carotid artery,shear.dyne.cm2,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,full precision,
Total_QICA_cm3_s,total internal carotid blood flow rate (both arteries) in cm3 s-1,Internal carotid artery,flow.cm3.s,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,Q = (tau*pi*r^3)/(4*eta) summed over both ICAs,
Total_Q_per_Vbr_cm3_s_ml,total ICA flow per unit brain volume in cm3 s-1 ml-1,Internal carotid artery,flow.per.vol,,primary,Primates & Diprotodontia,Seymour_etal_2015_TableS1,= Total_QICA_cm3_s / Brain_volume_ml,
Method:brain_mass,brain mass (g) = brain volume (ml) x 1.036 (brain-tissue density); used by the curated comparison table,,,,method,,Seymour_etal_2015_TableS1,not a snapshot column; derivation documented for downstream use,
