"Species","Micro/mega","Family","NCX","NCB","NRoB","DN,CX","DN,Cb","DN,RoB"
"Cardioderma cor","Microbat","Megadermatidae","10,221,440","63,792,242","7,317,510","39,766","616,497","36,367"
"Coleura afra","Microbat","Emballonuridae","5,080,428","47,984,992","5,514,794","56,460","888,050","55,816"
"Triaenops persicus","Microbat","Hipposideridae","6,039,272","59,651,487","4,072,165","64,765","820,968","47,981"
"Hipposideros commersoni","Microbat","Hipposideridae","7,877,834","51,875,702","6,965,297","32,406","483,525","29,267"
"Chaerephon pumilus","Microbat","Molossidae","5,632,618","25,324,375","4,001,397","66,967","697,515","47,232"
"Miniopterus schreibersii","Microbat","Miniopteridae","6,116,028","44,447,776","5,094,974","71,277","915,845","59,204"
"Epomophorus wahlbergi","Megabat","Pteropodidae","26,201,540","121,136,246","14,416,846","41,326","626,067","37,309"
"Rousettus aegyptiacus","Megabat","Pteropodidae","28,859,259","132,436,158","10,936,630","29,287","602,896","19,962"
"Megaloglossus woermanni","Megabat","Pteropodidae","11,897,169","49,734,021","4,097,177","38,490","627,122","25,755"
"Hypsignathus mostrosus","Megabat","Pteropodidae","24,343,593","221,298,619","28,877,041","13,481","484,806","24,684"
"Epomops franqueti","Megabat","Pteropodidae","22,533,501","150,660,138","12,808,860","21,663","525,829","17,986"
"Casinycteris argynnis","Megabat","Pteropodidae","10,471,765","77,445,413","11,098,900","22,666","605,042","36,751"
"Scotonycteris zenkeri","Megabat","Pteropodidae","12,847,119","47,217,961","5,529,891","39,652","549,046","31,067"
