Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Museum,holding institution code (see museum key in the snapshot footnotes),,,,info,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,USNM/AMNH/SAM/Uwits/CM,
Accession,specimen accession number,,,,info,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,,
Genus,genus as printed (trimmed),,,,info,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,,
Species,species epithet as printed (may be "sp." when indeterminate),,,,info,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,,
Species_binomial,Genus + epithet; join name harmonised via _keys/Stephan/species_key.csv token Seymour2019,,,,info,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,,
Sex,recorded sex (M/F/blank),,,,info,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,,
ECV_ml,endocranial volume in millilitres,Whole Brain,Vol.ml,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,per specimen; brain mass g = ECV x 1.036 if needed downstream,
Right_foramen_area_mm2,right internal carotid foramen cross-sectional area in mm2,Internal carotid foramen,area.mm2,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,right side,
Right_major_diam_mm,right foramen major diameter in mm,Internal carotid foramen,diam.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,right side,
Right_minor_diam_mm,right foramen minor diameter in mm,Internal carotid foramen,diam.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,right side,
Right_radius_from_D_mm,right foramen radius derived from diameters in mm,Internal carotid foramen,radius.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,right side; mostly blank in source,
Right_radius_from_area_mm,right foramen radius derived from area in mm,Internal carotid foramen,radius.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,right side; = sqrt(area/pi),
Left_foramen_area_mm2,left internal carotid foramen cross-sectional area in mm2,Internal carotid foramen,area.mm2,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,left side,
Left_major_diam_mm,left foramen major diameter in mm,Internal carotid foramen,diam.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,left side,
Left_minor_diam_mm,left foramen minor diameter in mm,Internal carotid foramen,diam.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,left side,
Left_radius_from_D_mm,left foramen radius derived from diameters in mm,Internal carotid foramen,radius.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,left side; mostly blank in source,
Left_radius_from_area_mm,left foramen radius derived from area in mm,Internal carotid foramen,radius.mm,,primary,Great Apes & Homo,Seymour_etal_2019_rspb20192208si002,left side; = sqrt(area/pi),
Method:brain_mass,brain mass (g) = ECV (ml) x 1.036 (brain-tissue density),,,,method,,Seymour_etal_2019_rspb20192208si002,derivation only; not a snapshot column,
Method:hemispheres,both foramina (Right_* and Left_*) are retained; the merge combines sides downstream,,,,method,,Seymour_etal_2019_rspb20192208si002,per the project hemisphere rule,
