paper,column,quantity,basis,state,includes_olfactory_bulb,includes_meninges,includes_ventricles_csf,poolable_group,is_size,role,in_brain_mass_merge,merge_rows,merge_species,definition_quoted,definition_source,basis_evidence,basis_note,basis_statement,basis_statement_source
Armstrong__1979,brain_mass_g,mass,mass_fresh_or_fixed_mixed,fresh_or_fixed,unknown,unknown,unknown,mass_measured,TRUE,,TRUE,60,4,,paper methods (PDF in the paper folder),quoted,"the source's own specimens are a mix of fresh and fixed weights, stated as such and not distinguishable per row","The brain weights were 1,890 gm (after fixation in 10% formalin) and 1,200 gm (fresh) respectively.",the paper's own prose (PDF in the paper folder)
Ashwell__2020,brain_volume_mm3,volume,volume_shrinkage_corrected,shrinkage_corrected,unknown,unknown,unknown,volume_histological,TRUE,primary,FALSE,0,0,whole brain volume in cubic millimetres,paper methods (PDF in the paper folder),quoted,measured (fixed/sectioned) volume corrected for shrinkage,Intervals between sections were used to calculate volumes and areas across the rostrocaudal extent of the forebrain by Cavalieri's basic estimator,the paper's own prose (PDF in the paper folder)
AvelinodeSouza_etal_2025,"Whole brain_Mass, g",mass,mass_excl_olfactory_bulb,unknown,no,unknown,unknown,mass_measured_excl_ob,TRUE,,TRUE,1,1,"whole brain (both sides), NOT including the olfactory bulbs",folder definitions file,quoted,weighed brain mass explicitly excluding the olfactory bulbs,,
Baron_etal_1996,brain_weight_mg,mass,mass_compilation_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,,TRUE,6,6,,source table caption/headers (PDF in the paper folder),quoted,"a mass compiled from other publications, whose fixation state the compiler does not report",Average body weights (BoW) and brain weights (BrW) of 342 species and/or subspecies of bats.,the source table's caption and column headers (PDF in the paper folder)
Bauernfeind_etal_2013,brain_mass_mg,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,43,30,brain mass in mg (printed in g; x1000),_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
Bauernfeind_etal_2013,brain_volume_mm3,volume,volume_shrinkage_corrected,shrinkage_corrected,unknown,unknown,unknown,volume_net,TRUE,primary,FALSE,0,0,"TOTAL fresh brain volume in mm3 (printed in cm3; x1000). NOT a net volume and NOT an independent volume measurement: it is the paper's ""preprocessed brain volume"" = brain mass / 1.036 g per cm3 (Stephan 1960 specific gravity), the numerator of the shrinkage correction factor described in the Methods. Verified: brain_mass_mg / brain_volume_mm3 = 1.036 for 41 of 43 individuals (remaining 2 within 1.2%, from rounding of the printed mass). It therefore restates brain_mass_mg and is a deterministic transform of it, not a second trait.",_keys/variable_catalog.csv,quoted,measured (fixed/sectioned) volume corrected for shrinkage,,
Brodmann__1913,BrainWeight.g,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,35,34,brain weight,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
Burger_etal_2019,Brain.resid,residual,residual,unknown,unknown,unknown,unknown,not_a_size,FALSE,flagged,FALSE,0,0,Brain-size residual (as printed) — NOT reproducible: authors could not reproduce it and advise deriving anew from a current tree,_keys/variable_catalog.csv,quoted,"residual from a brain-body regression - a relative measure, not a size",,
Burger_etal_2019,Mean_brain_mass_g,mass,mass_or_volume_mixed,unknown,unknown,unknown,unknown,mass_or_volume_mixed,TRUE,secondary,TRUE,1551,1549,Mean brain mass -- compilation; 1 g = 1 cm3 conversion used when volumes reported (per source methods),reference_tables definitions file,quoted,"compilation in which some values are weighed masses and others are volumes converted at 1 cm3 = 1 g, not distinguishable per row",,
Caspar_etal_2022,female_endocranial_volume_ml,endocranial_volume,endocranial_volume,unknown,yes,yes,yes,endocranial_volume,TRUE,primary,FALSE,0,0,female endocranial volume in millilitres,_keys/variable_catalog.csv,quoted,"capacity of the braincase: brain plus meninges, CSF and vessels",,
Changizi_Shimojo_2005,brain_mass_g,mass,mass_compilation_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,30,21,brain mass,paper methods (PDF in the paper folder),quoted,"a mass compiled from other publications, whose fixation state the compiler does not report","Brain mass information is used throughout the paper, and these data are averages from animals measured in Hrdlicka [1907], Von Bonin [1937], Crile and Quiring [1940], Stephan et al.",the paper's own prose (PDF in the paper folder)
Collins_etal_2016,brain_mass_g,mass,mass_fixed,fixed,unknown,unknown,unknown,mass_measured,TRUE,info,TRUE,8,1,whole brain mass,paper methods (PDF in the paper folder),quoted,"weighed after fixation (perfusion and/or immersion), stated as such","After postfixing in 4% (wt/vol) paraformaldehyde for 2 wk, each sheet was cut into small pieces",the paper's own prose (PDF in the paper folder)
Ebinger__1974,brain_mass_mg,mass,mass_fresh,fresh,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,10,2,fresh brain mass converted from printed g to mg,_keys/variable_catalog.csv,quoted,"weighed fresh (unfixed) brain, stated as such by the source",,
Ebinger__1974,pure_brain_volume_mm3,volume,volume_net,fresh,unknown,no,no,volume_net,TRUE,primary,FALSE,0,0,pure brain volume after remaining parts and ventricle,_keys/variable_catalog.csv,quoted,brain volume after removing ventricles and remaining non-brain parts,,
Ebinger__1974,total_brain_volume_mm3,volume,volume_fresh,fresh,unknown,unknown,yes,volume_fresh,TRUE,primary,FALSE,0,0,total fresh brain volume,_keys/variable_catalog.csv,quoted,volume of the fresh brain,,
Finlay_etal_2006,brainweight_g,mass,mass_compilation_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,primary,TRUE,18,18,brain weight,paper methods (PDF in the paper folder),quoted,"a mass compiled from other publications, whose fixation state the compiler does not report",Brain weights were obtained from various sources,the paper's own prose (PDF in the paper folder)
Frahm_etal_1998,brain_weight_mg,mass,mass_fresh,fresh,unknown,unknown,unknown,mass_measured,TRUE,secondary,TRUE,27,27,Brain weight (Mass.mg),source table caption/headers (PDF in the paper folder),quoted,"weighed fresh (unfixed) brain, stated as such by the source",Brain weight; data taken from STEPHAN,the source table's caption and column headers (PDF in the paper folder)
Garwicz_etal_2009,Absolute Brain Mass (g),mass,mass_compilation_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,,TRUE,24,24,,paper methods (PDF in the paper folder),quoted,"a mass compiled from other publications, whose fixation state the compiler does not report",All data were obtained from the literature (see Table S2).,the paper's own prose (PDF in the paper folder)
Heldstab_etal_2016,ECV_ml,endocranial_volume,endocranial_volume,unknown,yes,yes,yes,endocranial_volume,TRUE,primary,FALSE,0,0,female endocranial volume in millilitres,_keys/variable_catalog.csv,quoted,"capacity of the braincase: brain plus meninges, CSF and vessels",,
HerculanoHouzel__2015,brain.mass..g.or.cm3.,mass,mass_or_volume_mixed,unknown,no,unknown,unknown,mass_or_volume_mixed,TRUE,primary,TRUE,24,24,"brain mass in grams, or brain volume in cubic centimetres where the cited source reported a volume; values refer to both hemispheres together",_keys/variable_catalog.csv,quoted,"compilation in which some values are weighed masses and others are volumes converted at 1 cm3 = 1 g, not distinguishable per row",,
HerculanoHouzel_etal_2015,"Brain mass, g",mass,mass_excl_olfactory_bulb,unknown,no,unknown,unknown,mass_measured_excl_ob,TRUE,,TRUE,39,39,"whole brain (both sides), NOT including the olfactory bulbs [Herculano-Houzel whole-brain definition, per AvelinodeSouza_etal_2025 definitions]",folder definitions file,quoted,weighed brain mass explicitly excluding the olfactory bulbs,,
Heuer_etal_2023,LogBrainWeight_source,log_mass,log_mass,unknown,unknown,unknown,unknown,not_a_size,FALSE,secondary,FALSE,0,0,logged brain weight copied verbatim from rosetta.csv,_keys/variable_catalog.csv,quoted,logged copy of a brain mass carried for provenance,,
Iwaniuk_etal_2001,Brain Size,residual,residual,unknown,unknown,unknown,unknown,not_a_size,FALSE,primary,FALSE,0,0,relative brain size (residual from the brain-body regression),_keys/variable_catalog.csv,quoted,"residual from a brain-body regression - a relative measure, not a size",,
Jacobs_etal_2018,brain_mass_mg,mass,mass_specimen,unknown,unknown,unknown,unknown,mass_measured_specimen,TRUE,info,TRUE,40,20,brain mass of the specimen,_keys/variable_catalog.csv,quoted,"mass of one named specimen, not a species mean",,
Karl_etal_2024,Brain mass (g),mass,mass_specimen,fresh,unknown,unknown,unknown,mass_measured_specimen,TRUE,primary,TRUE,18,18,"brain mass of the specimen in grams, recorded at extraction",_keys/variable_catalog.csv,quoted,"mass of one named specimen, not a species mean",,
Kazu_etal_2014,WholeBrain_Mass.g,mass,mass_excl_olfactory_bulb,unknown,no,unknown,unknown,mass_measured_excl_ob,TRUE,primary,TRUE,5,5,whole-brain mass excluding the olfactory bulb,_keys/variable_catalog.csv,quoted,weighed brain mass explicitly excluding the olfactory bulbs,,
Kazu_etal_2015,WholeBrain_Mass.g,mass,mass_excl_olfactory_bulb,unknown,no,unknown,unknown,mass_measured_excl_ob,TRUE,primary,TRUE,5,5,whole-brain mass excluding the olfactory bulb,_keys/variable_catalog.csv,quoted,weighed brain mass explicitly excluding the olfactory bulbs,,
Krompecher_Lipak_1966,brain_weight_g,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,,FALSE,0,0,,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
Kverkova_etal_2018,Brain_Mass.g,sum_of_structure_volumes,sum_of_structure_volumes,unknown,yes,unknown,unknown,sum_of_parts_incl_ob,TRUE,,TRUE,11,11,Whole brain; appx. sum of 14 structures incl Olfactory bulbs,folder definitions file,quoted,whole-brain figure obtained by summing measured sub-structures,,
Lewitus_etal_2013,Brain_weight_g,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,secondary,TRUE,65,65,Brain weight,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
Lewitus_etal_2014,Brain_weight_g,mass,mass_unspecified,unknown,unknown,unknown,unknown,mass_measured,TRUE,secondary,TRUE,102,102,Brain weight g,_keys/variable_catalog.csv,unstated,a weighed brain mass with no fixation or derivation stated,,
MacLeod__2000,brain_weight_g,mass,mass_unspecified,unknown,unknown,no,unknown,mass_measured,TRUE,,TRUE,2,2,uses the estimated brain weight when a row prints both a with-meninges weight and an estimated weight (e.g. A375),folder definitions file,quoted,a weighed brain mass with no fixation or derivation stated,,
MacLeod_etal_2003,brain_volume_cm3,volume,volume_mri_or_histological_mixed,in_vivo_or_fixed,unknown,unknown,unknown,volume_mri_or_histological_mixed,TRUE,primary,FALSE,0,0,whole brain volume,paper methods (PDF in the paper folder),quoted,"one dataset combining in vivo MRI volumes with histological section volumes, not distinguishable per row",incorporating data from both magnetic resonance scans and histological sections for a total sample size of 97 specimens,the paper's own prose (PDF in the paper folder)
